Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Brauweilerstraße / Zaunstraße / Karl-Kaulen-Straße;3002;Stadt Köln;Lindenthal;23.475.348,5;56.461.577,3
Brauweilerweg / Ludwig-Jahn-Straße / Vogelsanger Weg / Egelspfad;3109;Stadt Köln;Lindenthal;23.491.614,8;56.455.954,0
Dürener Straße / Am Haelentor;0339;StrNRW;Lindenthal;23.505.656,3;56.435.004,1
Dürener Straße / Autobahnmeisterei;0329;StrNRW;Lindenthal;23.485.894,4;56.429.254,7
Dürener Straße / BAB1-Ost / Max-Planck-Straße West;0328;StrNRW;Lindenthal;23.486.980,8;56.429.591,8
Dürener Straße / BAB1-West;0330;StrNRW;Lindenthal;23.482.952,1;56.428.410,8
Dürener Straße / Classen-Kappellmann-Straße;3130;Stadt Köln;Lindenthal;23.538.624,0;56.443.349,1
Dürener Straße / Emmy-Noether Straße;3143;Stadt Köln;Lindenthal;23.489.024,3;56.430.184,1
Dürener Straße / Geibelstraße;3132;Stadt Köln;Lindenthal;23.536.107,2;56.442.114,7
Dürener Straße / Hans-Sachs-Straße / Schallstraße;3131;Stadt Köln;Lindenthal;23.537.096,2;56.442.564,7
Dürener Straße / Hermann-Heinrich-Gossen-Straße ;3141;Stadt Köln;Lindenthal;23.489.687,4;56.430.349,3
Dürener Straße / Hillerstraße;3135;Stadt Köln;Lindenthal;23.531.921,3;56.439.673,3
Dürener Straße / Horbeller Straße;3139;Stadt Köln;Lindenthal;23.493.463,7;56.431.401,4
Dürener Straße / Klosterstraße / Lindenburger Allee;3133;Stadt Köln;Lindenthal;23.534.826,4;56.441.376,3
Dürener Straße / Marsdorfer Straße;3138;Stadt Köln;Lindenthal;23.496.242,1;56.432.226,0
Dürener Straße / Max-Planck-Straße Ost;3140;Stadt Köln;Lindenthal;23.492.340,2;56.431.086,9
Dürener Straße / Militärringstraße;3137;Stadt Köln;Lindenthal;23.517.374,0;56.435.693,2
Dürener Straße / Mommsenstraße / Kitschburger Straße;3870;Stadt Köln;Lindenthal;23.525.307,8;56.437.380,7
Dürener Straße / Prälat-van-Acken-Straße ;3871;Stadt Köln;Lindenthal;23.521.782,0;56.436.525,0
Dürener Straße / Salzburger Weg;0341;StrNRW;Lindenthal;23.503.012,6;56.434.218,1
Dürener Straße / Stüttgenweg / Jakob-Kaiser-Str.;0340;StrNRW;Lindenthal;23.507.196,4;56.435.425,8
Dürener Straße / Theresienstraße;3134;Stadt Köln;Lindenthal;23.533.466,0;56.440.578,1
Euskirchener Straße / Mommsenstraße / Schule;3176;Stadt Köln;Lindenthal;23.534.755,5;56.427.089,9
Gleueler Straße / Decksteiner Straße / Wende Bus;3157;Stadt Köln;Lindenthal;23.523.897,4;56.426.916,2
Gleueler Straße / Freiligrathstraße;3156;Stadt Köln;Lindenthal;23.527.839,2;56.430.439,3
Gleueler Straße / Joseph-Stelzmann-Straße / Geibelstraße;3153;Stadt Köln;Lindenthal;23.537.208,3;56.438.802,8
Gleueler Straße / Lindenburger Allee / Schule;3154;Stadt Köln;Lindenthal;23.535.286,4;56.436.672,5
Gleueler Straße / Mommsenstraße;3155;Stadt Köln;Lindenthal;23.529.194,8;56.431.932,1
Gottesweg / Rhöndorfer Straße;3186;Stadt Köln;Lindenthal;23.547.161,9;56.422.476,6
Gregor-Mendel-Ring / Belvederestraße;3006;Stadt Köln;Lindenthal;23.500.263,8;56.467.221,8
Grüner Weg / Am Kliepesch / Frechener Weg;3124;Stadt Köln;Lindenthal;23.472.995,6;56.449.495,8
Hauptstraße / Leonhardsgasse / Blaugasse;3001;Stadt Köln;Lindenthal;23.475.173,8;56.481.157,7
Hauptstraße / Neue Sandkaul / Alte Sandkaul;3000;Stadt Köln;Lindenthal;23.479.327,6;56.483.150,1
Hermeskeiler Straße / Neuenhöfer Allee;3175;Stadt Köln;Lindenthal;23.530.080,5;56.428.270,7
Horbeller Straße / Toyota-Allee;3142;Stadt Köln;Lindenthal;23.495.124,9;56.425.990,3
Innere Kanalstraße / Hollarstraße;3190;Stadt Köln;Lindenthal;23.541.994,9;56.449.491,0
Kerpener Straße / Joseph-Stelzmann-Straße;3162;Stadt Köln;Lindenthal;23.538.774,6;56.433.890,9
Kerpener Straße / Rurstraße;3163;Stadt Köln;Lindenthal;23.535.513,7;56.433.183,0
Kerpener Straße / Weyertal;3160;Stadt Köln;Lindenthal;23.542.642,4;56.435.251,5
Kirchweg / Frankenstraße / Am Römerhof;3117;Stadt Köln;Lindenthal;23.500.859,7;56.450.144,2
Klettenberggürtel / Petersbergstraße;3187;Stadt Köln;Lindenthal;23.542.061,7;56.419.944,3
Klettenberggürtel / Rhöndorfer Straße;3189;Stadt Köln;Lindenthal;23.544.818,1;56.417.621,8
