Standort;LSA-Nr.;Baulastträger;Bezirk;X;Y
Düsseldorfer Straße / Pförtner Flittard O. / Bayer-Nord;0982;StrNRW;Mülheim;23.592.746,3;56.525.969,4
Düsseldorfer Straße / Ricarda-Huch-Straße / Moses-Heß-Straße;0987;StrNRW;Mülheim;23.595.934,2;56.501.838,7
Düsseldorfer Straße / Roggendorfstraße / Grüner Kuhweg;0984;StrNRW;Mülheim;23.594.411,7;56.515.559,2
Düsseldorfer Straße / Stammheimer Ring / Dünnwalder Kommunalweg;0985;StrNRW;Mülheim;23.595.967,6;56.505.581,7
Edelhofstraße / Am Feldrain / Schule;9161;Stadt Köln;Mülheim;23.583.300,7;56.515.606,4
Frankfurter Straße / Ackerstraße;9941;Stadt Köln;Mülheim;23.604.584,1;56.468.276,2
Frankfurter Straße / Alte Wipperfürther Straße;9942;Stadt Köln;Mülheim;23.605.080,4;56.467.685,6
Frankfurter Straße / Arnsberger Straße;9943;Stadt Köln;Mülheim;23.604.952,7;56.466.270,0
Frankfurter Straße / B55a Nord;9946;Stadt Köln;Mülheim;23.608.395,0;56.460.615,0
Frankfurter Straße / Germaniastraße / Modemannstraße;9945;Stadt Köln;Mülheim;23.606.235,3;56.463.290,0
Frankfurter Straße / Graf-Adolf-Straße;9939;Stadt Köln;Mülheim;23.602.386,7;56.470.857,2
Frankfurter Straße / Heidelberger Straße;9944;Stadt Köln;Mülheim;23.604.976,9;56.464.898,1
Frankfurter Straße / Merkerhofstraße / Rhodiusstraße;9936;Stadt Köln;Mülheim;23.600.530,2;56.473.036,0
Frankfurter Straße / Montanusstraße / Vincenzstraße;9940;Stadt Köln;Mülheim;23.603.418,5;56.469.632,4
Graf-Adolf-Straße / Sonderburger Straße / Schule;9961;Stadt Köln;Mülheim;23.600.461,7;56.469.533,6
Heidelberger Straße / Kalk-Mülheimer Straße / Karlsruher Straße;9953;Stadt Köln;Mülheim;23.596.089,1;56.461.887,8
Heidelberger Straße / Kopernikusstraße;9969;Stadt Köln;Mülheim;23.602.298,4;56.464.015,6
Heidelberger Straße / Waldecker Straße;9950;Stadt Köln;Mülheim;23.598.785,5;56.462.767,7
Herler Ring / Wuppertaler Straße / Wichheimer Straße;9933;Stadt Köln;Mülheim;23.614.423,9;56.473.779,2
Honschaftsstraße / Piccoloministraße;9156;Stadt Köln;Mülheim;23.618.378,1;56.484.343,8
Honschaftsstraße / Sigwinstraße / Am Springborn;9155;Stadt Köln;Mülheim;23.618.636,0;56.489.918,6
Im Weidenbruch / Birkenweg / Schule;9152;Stadt Köln;Mülheim;23.625.105,9;56.498.715,7
Im Weidenbruch / Honschaftsstraße / Schule;9154;Stadt Köln;Mülheim;23.618.963,9;56.495.759,8
Im Weidenbruch / Im Weidenkamp;9153;Stadt Köln;Mülheim;23.621.619,5;56.496.915,5
Keupstraße / Schanzenstraße;9143;Stadt Köln;Mülheim;23.602.075,8;56.479.098,9
Markgrafenstraße / Von-Sparr-Straße;9981;Stadt Köln;Mülheim;23.603.848,0;56.484.830,3
Mielenforster Straße / Bensberger Marktweg;9968;Stadt Köln;Mülheim;23.647.626,2;56.479.742,0
Mülheimer Freiheit / Düsseldorfer Straße / Dünnwalder Straße;9140;Stadt Köln;Mülheim;23.597.748,0;56.481.210,2
Mülheimer Freiheit / Krahnenstraße / Schule;9158;Stadt Köln;Mülheim;23.596.225,2;56.480.424,7
Neufelder Straße / Krankenhaus Holweide;9927;Stadt Köln;Mülheim;23.635.987,1;56.480.840,2
Pfälzischer Ring / Grünstraße / Bergischer Ring;9116;Stadt Köln;Mülheim;23.595.123,3;56.467.146,3
Pfälzischer Ring / Karlsruher Straße;9115;Stadt Köln;Mülheim;23.591.212,6;56.461.334,8
Piccoloministraße / Buschfeldstraße;9929;Stadt Köln;Mülheim;23.623.399,1;56.485.057,9
Piccoloministraße / Ernststraße;9928;Stadt Köln;Mülheim;23.629.370,5;56.485.741,3
Roggendorf Straße / Alfred-Werner-Straße;9160;Stadt Köln;Mülheim;23.590.715,0;56.516.558,3
Schlagbaumsweg / An der Wasserburg;9932;Stadt Köln;Mülheim;23.625.917,7;56.471.194,1
Schlagbaumsweg / Colonia Allee / Isenburger Kirchweg / Ostmerheimer Straße;9966;Stadt Köln;Mülheim;23.626.964,4;56.471.712,8
Schnellweider Straße / Musäusstraße;9965;Stadt Köln;Mülheim;23.631.766,9;56.483.208,3
Wiener Platz / Frankfurter Straße / Eulenbergstraße;9129;Stadt Köln;Mülheim;23.599.404,7;56.474.539,7
Wiener Platz / Mülheimer Brücke;9128;Stadt Köln;Mülheim;23.598.313,2;56.474.764,3
Am Bilderstöckchen / Alzeyer Straße;5027;Stadt Köln;Nippes;23.544.005,0;56.489.313,9
Amsterdamer Straße / Barbarastraße;5704;Stadt Köln;Nippes;23.573.981,5;56.482.959,2
Amsterdamer Straße / Friedrich-Karl-Straße;5707;Stadt Köln;Nippes;23.574.224,0;56.489.383,4
Amsterdamer Straße / Kinderkrankenhaus;5701;Stadt Köln;Nippes;23.573.264,2;56.476.523,4
Amsterdamer Straße / Nesselrodestraße;5708;Stadt Köln;Nippes;23.573.959,8;56.493.216,6
Amsterdamer Straße / Niehler Gürtel / KVB-Haltestelle;5705;Stadt Köln;Nippes;23.574.119,2;56.485.605,3
Amsterdamer Straße / Riehler Gürtel;5703;Stadt Köln;Nippes;23.573.890,3;56.481.702,1
Amsterdamer Straße / Wende / Neven DuMont;5706;Stadt Köln;Nippes;23.574.225,8;56.487.855,4
Amsterdamer Straße / Wende-Flora;5700;Stadt Köln;Nippes;23.572.739,0;56.472.986,5
Amsterdamer Straße / Xantener Straße;5702;Stadt Köln;Nippes;23.573.773,2;56.480.055,9
Äußere Kanalstraße / Escher Straße / Robert-Perthel-Straße;5022;Stadt Köln;Nippes;23.541.203,3;56.488.875,6
Boltensternstraße / Amsterdamer Straße / Industriestraße;5219;Stadt Köln;Nippes;23.573.536,3;56.497.807,7
Boltensternstraße / Barbarastraße;5237;Stadt Köln;Nippes;23.580.576,1;56.483.831,5
Boltensternstraße / Friedrich-Karl-Straße / Am Niehler Hafen;5218;Stadt Köln;Nippes;23.577.854,8;56.490.060,1
Boltensternstraße / Hittorfstraße;5238;Stadt Köln;Nippes;23.581.663,5;56.480.064,9
Boltensternstraße / Niehler Gürtel / Flemmingstraße;5220;Stadt Köln;Nippes;23.580.025,0;56.485.067,7
Boltensternstraße / Pasteurstraße / SB-Warenhaus;5216;Stadt Köln;Nippes;23.579.021,8;56.487.339,9
Boltensternstraße / Pionierstraße;5239;Stadt Köln;Nippes;23.581.958,7;56.478.737,1
Boltensternstraße / Stammheimer Straße;5217;Stadt Köln;Nippes;23.581.119,1;56.481.932,2
Bremerhavener Straße / Emdener Straße;5009;Stadt Köln;Nippes;23.564.782,1;56.513.592,9
Emdener Straße / Am Ölhafen;5001;Stadt Köln;Nippes;23.565.707,4;56.537.538,4
Emdener Straße / Ford Tor 6;5005;Stadt Köln;Nippes;23.565.409,6;56.526.861,7
Emdener Straße / Ford Tor 8+24;5004;Stadt Köln;Nippes;23.565.490,5;56.530.420,7
Emdener Straße / Geestemünder Straße;5007;Stadt Köln;Nippes;23.565.146,4;56.521.062,8
Friedrich-Karl-Straße / Duisburger Straße / Castroper Straße;5142;Stadt Köln;Nippes;23.571.556,8;56.489.271,8
Friedrich-Karl-Straße / Niehler Kirchweg;5141;Stadt Köln;Nippes;23.565.500,0;56.489.322,3
Frohngasse / Alter Stammheimer Weg / An der Flora;5221;Stadt Köln;Nippes;23.575.021,3;56.471.015,4
Geestemünder Straße / Anbindung Industriestr-Ost;5002;Stadt Köln;Nippes;23.562.113,5;56.521.210,3
Geestemünder Straße / Delmenhorster Straße / Industriestraße;5003;Stadt Köln;Nippes;23.559.892,3;56.521.191,7
Geestemünder Straße / Franz-Greiß-Straße;5018;Stadt Köln;Nippes;23.554.057,8;56.521.369,3
Geestemünder Straße / Johann-Maria-Farina-Straße;5006;Stadt Köln;Nippes;23.557.726,4;56.521.252,9
Geldernstraße / Escher Straße;5110;Stadt Köln;Nippes;23.553.032,2;56.473.445,4
Innere Kanalstraße / Neusser Straße;5120;Stadt Köln;Nippes;23.564.297,5;56.470.475,3
Innere Kanalstraße / Niehler Straße;5130;Stadt Köln;Nippes;23.565.738,0;56.471.102,1
Johannes-Rings-Straße / Longericher Straße / Hohlgasse;5824;Stadt Köln;Nippes;23.536.124,8;56.514.821,0
Kempener Straße / An der Drehscheibe;5102;Stadt Köln;Nippes;23.557.353,7;56.480.887,4
Kempener Straße / Cranachstraße / Christinastraße;5117;Stadt Köln;Nippes;23.562.204,2;56.475.121,4
Kempener Straße / Merheimer Straße;5113;Stadt Köln;Nippes;23.558.925,8;56.479.047,3
Kempener Straße / Simon-Meister-Straße / Schule;5112;Stadt Köln;Nippes;23.557.916,5;56.480.308,1
Kempener Straße / Steinbergerstraße / Auguststraße;5116;Stadt Köln;Nippes;23.561.805,1;56.475.591,9
Kempener Straße / Wilhelmstraße;5115;Stadt Köln;Nippes;23.560.989,3;56.476.543,7
Liebigstraße / Geldernstraße / Osterather Straße;5111;Stadt Köln;Nippes;23.552.640,2;56.471.877,4
Longericher Hauptstraße / Auf der Bude / Schule;5021;Stadt Köln;Nippes;23.529.986,9;56.515.461,2
Longericher Straße / Rommerskircher Straße;5020;Stadt Köln;Nippes;23.534.822,2;56.518.315,3
Mauenheimer Gürtel / Merheimer Straße;5106;Stadt Köln;Nippes;23.558.141,2;56.486.886,2
Merheimer Straße / Bergstraße;5105;Stadt Köln;Nippes;23.558.184,2;56.488.925,7
Merheimer Straße / Friedrich-Karl-Straße / Nibelungenstraße;5104;Stadt Köln;Nippes;23.558.361,9;56.491.570,2
Militärringstraße / BAB57-Ost;0518;StrNRW;Nippes;23.523.830,6;56.513.464,4
Militärringstraße / Heimersdorfer Straße;0540;StrNRW;Nippes;23.530.560,9;56.518.769,0
Militärringstraße / Herforder Straße;0543;StrNRW;Nippes;23.545.819,4;56.517.017,8
Militärringstraße / Kaserne Lüttich;0563;StrNRW;Nippes;23.541.063,0;56.518.162,2
Militärringstraße / Lindweilerweg;0539;StrNRW;Nippes;23.525.196,7;56.514.893,8
Militärringstraße / Mercatorstraße / Longericher Straße;0521;StrNRW;Nippes;23.535.040,2;56.518.926,8
Militärringstraße / Volkhovener Weg;0520;StrNRW;Nippes;23.528.060,4;56.517.570,0
Neusser Landstraße / Geestemünder Straße;5017;Stadt Köln;Nippes;23.550.014,7;56.521.478,9
Neusser Straße / Blücherstraße / Schillstraße;5126;Stadt Köln;Nippes;23.562.869,5;56.481.091,1
Neusser Straße / Derfflingerstraße;5812;Stadt Köln;Nippes;23.559.715,8;56.496.288,1
Neusser Straße / Florastraße / Einheitstraße;5125;Stadt Köln;Nippes;23.563.053,5;56.479.465,6
Neusser Straße / Florianschule-Weidenpesch;5813;Stadt Köln;Nippes;23.559.493,4;56.498.912,8
Neusser Straße / Friedrich-Karl-Straße;5128;Stadt Köln;Nippes;23.560.869,4;56.490.707,6
Neusser Straße / Jesuitengasse;5816;Stadt Köln;Nippes;23.557.027,1;56.506.193,8
Neusser Straße / Kempener Straße / Auerstraße;5122;Stadt Köln;Nippes;23.563.500,0;56.473.719,8
Neusser Straße / Kuenstraße / Cranachstraße;5123;Stadt Köln;Nippes;23.563.514,1;56.475.050,1
Neusser Straße / Lachemer Weg;5818;Stadt Köln;Nippes;23.555.734,1;56.508.597,9
Neusser Straße / Lohsestraße;5121;Stadt Köln;Nippes;23.563.742,6;56.472.549,2
Neusser Straße / Militärringstraße / Bremerhavener Straße;5016;Stadt Köln;Nippes;23.552.351,6;56.515.470,0
Neusser Straße / Mollwitzstraße / Roßbachstraße;5811;Stadt Köln;Nippes;23.559.955,9;56.494.567,2
Neusser Straße / Niehler Kirchweg;5127;Stadt Köln;Nippes;23.562.392,3;56.484.658,8
Neusser Straße / Scheibenstraße / Kapuzinerstraße;5814;Stadt Köln;Nippes;23.559.258,4;56.500.539,4
Neusser Straße / Simonskaul;5815;Stadt Köln;Nippes;23.557.928,6;56.504.005,7
Neusser Straße / STRAB-Abzweig;5817;Stadt Köln;Nippes;23.556.577,5;56.507.192,7
Neusser Straße / Wilhelm-Sollmann-Straße;5819;Stadt Köln;Nippes;23.554.782,3;56.510.287,7
Neusser Straße / Wilhelmstraße;5124;Stadt Köln;Nippes;23.563.294,1;56.477.020,3
Niederländer Ufer / An der Schanz / Colonia-Haus;5201;Stadt Köln;Nippes;23.582.491,0;56.473.638,0
Niederländer Ufer / Frohngasse;5204;Stadt Köln;Nippes;23.577.119,2;56.469.038,9
Niederländer Ufer / Tiergartenstraße;5202;Stadt Köln;Nippes;23.579.508,0;56.471.112,0
Niederländer Ufer / Zoobrücke / P+R Zoo;5203;Stadt Köln;Nippes;23.577.911,4;56.469.769,1
Niehler Damm / Bremerhavener Straße / Sankt-Leonardus-Straße;5011;Stadt Köln;Nippes;23.568.545,2;56.514.100,0
Niehler Straße / Auerstraße;5131;Stadt Köln;Nippes;23.566.005,6;56.473.597,8
Niehler Straße / Blücherstraße / Xantener Straße;5134;Stadt Köln;Nippes;23.566.690,7;56.480.594,3
Niehler Straße / Florastraße / Wilhelmstraße;5133;Stadt Köln;Nippes;23.566.468,4;56.477.519,4
Niehler Straße / Friedrich-Karl-Straße;5136;Stadt Köln;Nippes;23.567.618,5;56.489.352,1
Niehler Straße / Kuenstraße;5132;Stadt Köln;Nippes;23.566.188,4;56.474.891,2
Niehler Straße / Niehler Kirchweg / Weidenpescher Straße;5137;Stadt Köln;Nippes;23.567.871,5;56.491.903,4
Parkgürtel / Escher Straße / Kirche;5109;Stadt Köln;Nippes;23.549.128,2;56.479.183,9
Parkgürtel / Longericher Straße / Geldernstraße;5107;Stadt Köln;Nippes;23.553.936,9;56.483.405,0
Riehler Straße / Boltensternstraße / An der Schanz;5240;Stadt Köln;Nippes;23.582.940,3;56.476.303,6
Riehler Straße / Frohngasse;5222;Stadt Köln;Nippes;23.575.896,4;56.470.023,2
Riehler Straße / Zoo-Flora;5223;Stadt Köln;Nippes;23.576.929,8;56.470.630,6
Sankt-Leonardus-Straße / Ford Parkplatz / privat;5010;privat;Nippes;23.568.377,8;56.517.682,1
Schiefersburger Weg / Reutlinger Straße / Schule;5026;Stadt Köln;Nippes;23.548.729,7;56.484.268,4
Sebastianstraße / Feldgärtenstraße;5014;Stadt Köln;Nippes;23.569.097,3;56.503.995,2
Sebastianstraße / Merkenicher Straße;5013;Stadt Köln;Nippes;23.569.257,2;56.506.424,2
Stammheimer Straße / Riehler Gürtel / Pionierstraße;5145;Stadt Köln;Nippes;23.578.662,5;56.477.726,5
Wilhelm-Sollmann-Straße / Graseggerstraße;5820;Stadt Köln;Nippes;23.552.713,7;56.509.862,7
Wilhelm-Sollmann-Straße / Herforder Straße / Rambouxstraße;5822;Stadt Köln;Nippes;23.544.680,2;56.512.851,5
Wilhelm-Sollmann-Straße / Meerfeldstraße / Johannes-Rings-Straße;5823;Stadt Köln;Nippes;23.540.972,6;56.513.461,8
Wilhelm-Sollmann-Straße / Rüdellstraße / Rheindorfer Straße;5821;Stadt Köln;Nippes;23.549.757,5;56.511.894,3
Xantener Straße / Kretzerstraße / Schule;5144;Stadt Köln;Nippes;23.569.952,8;56.481.333,1
Akazienweg / Friedensstraße;7038;Stadt Köln;Porz;23.661.772,2;56.377.857,3
Bahnhofstraße / Friedrichstraße / Schillerstraße;7009;Stadt Köln;Porz;23.635.608,4;56.386.285,4
Bergerstraße / Bochumer Straße / Neue Eiler Straße;7023;Stadt Köln;Porz;23.646.350,3;56.397.004,2
Bergerstraße / Josefstraße;7077;Stadt Köln;Porz;23.633.464,4;56.392.592,3
Flughafen / Terminal;7114;privat;Porz;23.677.019,3;56.381.655,9
Frankfurter Straße / Alter Deutzer Postweg;7707;Stadt Köln;Porz;23.629.604,0;56.425.853,0
Frankfurter Straße / BAB559 Nord / Rather Straße;7709;Stadt Köln;Porz;23.635.345,2;56.414.431,8
Frankfurter Straße / BAB559 Süd;7710;Stadt Köln;Porz;23.636.464,5;56.412.235,0
Frankfurter Straße / Bergerstraße;7045;Stadt Köln;Porz;23.648.246,3;56.397.617,5
Frankfurter Straße / Bochumer Straße / Mozartstraße;7057;Stadt Köln;Porz;23.648.502,8;56.395.286,7
Frankfurter Straße / Ferdinand-Porsche-Straße;7742;Stadt Köln;Porz;23.640.485,5;56.408.510,3
Frankfurter Straße / Friedensstraße / Friedrich-Hirsch-Straße;0748;StrNRW;Porz;23.651.380,5;56.377.718,4
Frankfurter Straße / Hansestraße / Neuenhofstraße;7708;Stadt Köln;Porz;23.633.106,6;56.418.976,5
Frankfurter Straße / Heidestraße / Sankt-Sebastianus-Straße;7050;Stadt Köln;Porz;23.653.024,7;56.357.119,6
Frankfurter Straße / Hirschgraben;7044;Stadt Köln;Porz;23.649.026,3;56.400.557,5
Frankfurter Straße / Kaiserstraße / Waldstraße;7046;Stadt Köln;Porz;23.651.016,7;56.384.026,9
Frankfurter Straße / Kennedystraße;0713;StrNRW;Porz;23.650.220,3;56.388.730,0
Frankfurter Straße / Schubertstraße;0712;StrNRW;Porz;23.649.455,1;56.392.205,2
Frankfurter Straße / Steinstraße / Maarhäuser Weg;7711;Stadt Köln;Porz;23.638.025,1;56.410.751,7
Frankfurter Straße / Theodor-Heuss-Straße;7712;Stadt Köln;Porz;23.645.412,9;56.403.946,3
Frankfurter Straße / Zündorfer Straße;7047;Stadt Köln;Porz;23.650.855,3;56.381.041,7
Friedrichstraße / Bundesbahnbrücke;7078;Stadt Köln;Porz;23.636.698,0;56.389.147,0
Grengeler Mauspfad / Alte Kölner Straße;0719;StrNRW;Porz;23.666.532,1;56.388.368,9
Grengeler Mauspfad / Kennedystraße Nord;0720;StrNRW;Porz;23.666.858,2;56.386.718,7
Grengeler Mauspfad / Kennedystraße Süd;0721;StrNRW;Porz;23.667.137,7;56.385.250,5
Grengeler Mauspfad / Waldstraße;7016;Stadt Köln;Porz;23.667.774,0;56.382.025,8
Hauptstraße / Bahnhofstraße;7019;Stadt Köln;Porz;23.632.315,4;56.387.218,7
Hauptstraße / Bergerstraße / Rathausstraße;7029;Stadt Köln;Porz;23.632.245,8;56.391.414,1
Hauptstraße / Burgweg / Keimergasse;7074;Stadt Köln;Porz;23.623.481,9;56.369.567,1
Hauptstraße / Ernst-Mühlendyck-Straße / Bennauerstraße;7021;Stadt Köln;Porz;23.632.263,2;56.385.960,1
Hauptstraße / Karlstraße / Bezirksrathaus;7020;Stadt Köln;Porz;23.632.407,5;56.389.016,1
Hauptstraße / Rosenhügel / An der Groov;7092;Stadt Köln;Porz;23.627.897,0;56.375.574,0
Hauptstraße / Steinstraße;7030;Stadt Köln;Porz;23.631.079,6;56.392.533,1
Heidestraße / Albin-Köbis-Straße / Max-Reichpietsch-Straße;7025;Stadt Köln;Porz;23.658.527,2;56.358.359,8
Heidestraße / BAB59;0722;StrNRW;Porz;23.660.544,1;56.358.449,9
Heidestraße / Guntherstraße / Feuerwache;7026;Stadt Köln;Porz;23.662.835,9;56.358.511,8
Heidestraße / Magazinstraße;7028;Stadt Köln;Porz;23.666.063,4;56.358.650,8
Heidestraße / Sankt-Ägidius-Straße / Wilhelm-Ruppert-Straße;7024;Stadt Köln;Porz;23.655.871,5;56.357.838,4
Heidestraße / Sportplatzstraße;7027;Stadt Köln;Porz;23.664.469,8;56.358.585,5
Hirschgraben / Pferdeüberweg / privat;7999;privat;Porz;23.658.718,3;56.402.806,9
Humboldtstraße / Bergerstraße;7003;Stadt Köln;Porz;23.642.034,7;56.395.428,6
Humboldtstraße / Bonner Straße / Schule;7004;Stadt Köln;Porz;23.642.874,4;56.391.962,5
Humboldtstraße / Konrad-Adenauer-Straße / Kurt-Schumacher-Straße;7002;Stadt Köln;Porz;23.640.940,1;56.398.775,1
Humboldtstraße / Siemensstraße / Schule;7005;Stadt Köln;Porz;23.643.149,2;56.389.369,8
Humboldtstraße / Theodor-Heuss-Straße / Schule;7001;Stadt Köln;Porz;23.640.204,0;56.401.587,7
Humboldtstraße / Voltastraße / Schule;7006;Stadt Köln;Porz;23.643.171,8;56.385.766,7
Josefstraße / Schule;7073;Stadt Köln;Porz;23.633.819,0;56.391.381,0
Kaiserstraße / Brucknerstraße / Schule;7013;Stadt Köln;Porz;23.643.827,0;56.384.139,1
Kaiserstraße / Dorotheenstraße / Schule;7014;Stadt Köln;Porz;23.644.778,4;56.383.742,2
Kaiserstraße / Humboldtstraße / Schule;7007;Stadt Köln;Porz;23.643.011,1;56.384.743,6
Kaiserstraße / Marienburger Straße / Unter den Erlen;7069;Stadt Köln;Porz;23.648.198,6;56.383.622,2
Kaiserstraße / Ohmstraße;7012;Stadt Köln;Porz;23.640.091,8;56.385.269,6
Kennedystraße / Planstraße;7777;Stadt Köln;Porz;23.653.346,0;56.388.555,9
Kölner Straße / Berliner Straße / Helenenstraße;7018;Stadt Köln;Porz;23.611.995,1;56.407.687,9
Kölner Straße / Erkerstraße;7032;Stadt Köln;Porz;23.623.739,0;56.401.203,0
Kölner Straße / Gilgaustraße;7035;Stadt Köln;Porz;23.615.542,1;56.405.101,2
Kölner Straße / Gremberghovener Straße / Hohe Straße;7033;Stadt Köln;Porz;23.620.404,5;56.402.382,9
Kölner Straße / Kirche;7034;Stadt Köln;Porz;23.618.220,0;56.403.065,1
Kölner Straße / Mudra-Kaserne;0732;StrNRW;Porz;23.606.740,2;56.411.655,9
Kölner Straße / Porzer Ringstraße;0730;StrNRW;Porz;23.602.073,6;56.413.704,9
Kölner Straße / Stollwerkstraße / Andre-Citroen-Straße;7036;Stadt Köln;Porz;23.609.661,6;56.409.113,6
Kölner Straße / Urbacher Weg / Im Rheinfeld;7031;Stadt Köln;Porz;23.625.974,0;56.399.334,7
Linder Mauspfad / Ernst-Mach-Straße;7090;Stadt Köln;Porz;23.670.713,4;56.344.403,7
Linder Mauspfad / Flughafenstraße;7089;Stadt Köln;Porz;23.668.895,6;56.355.463,9
Linder Mauspfad / Viehtrift;7063;Stadt Köln;Porz;23.669.144,0;56.349.292,3
Maarhäuser Weg / Hansestraße;0714;StrNRW;Porz;23.643.649,0;56.415.464,8
Nachtigallenstraße / Bieselweg;7083;Stadt Köln;Porz;23.662.955,1;56.363.881,1
Nachtigallenstraße / Sankt-Ägidius-Straße / Schule;7010;Stadt Köln;Porz;23.655.062,9;56.363.202,3
Poller Hauptstraße / Schulpfad / Schule;7187;Stadt Köln;Porz;23.588.408,8;56.419.228,8
Rolshover Straße Max-Glomsda-Straße / Taubenholzweg;7183;Stadt Köln;Porz;23.593.602,0;56.431.184,0
Rösrather Straße / Bensberger Straße;0723;StrNRW;Porz;23.670.033,1;56.423.306,8
Schmittgasse / Houdainer Straße / Schule;7017;Stadt Köln;Porz;23.624.188,7;56.367.508,2
Siegburger Straße / Am Altenberger Kreuz / Krückelstraße;7184;Stadt Köln;Porz;23.586.018,2;56.426.875,7
Siegburger Straße / Am Weizenacker / Poller Damm;0727;StrNRW;Porz;23.594.362,0;56.419.191,8
Siegburger Straße / Auf dem Sandberg;7186;Stadt Köln;Porz;23.589.574,0;56.422.793,0
Siegburger Straße / BAB4 Nord;0728;StrNRW;Porz;23.595.347,5;56.418.058,0
Siegburger Straße / BAB4 Süd ;0729;StrNRW;Porz;23.596.899,7;56.416.490,9
Siegburger Straße / Jakob-Kneip-Straße;7185;Stadt Köln;Porz;23.587.287,7;56.424.852,8
Siegburger Straße / Raiffeisenstraße;7189;Stadt Köln;Porz;23.584.723,0;56.428.281,0
Steinstraße / Humboldtstraße / Frankenstraße;0715;StrNRW;Porz;23.636.434,5;56.408.814,2
Steinstraße / Theodor-Heuss-Straße / Hohenstaufenstraße;0716;StrNRW;Porz;23.634.738,9;56.402.059,1
Theodor-Heuss-Straße / Hansestraße / Heumarer Straße;0717;StrNRW;Porz;23.649.588,3;56.409.209,7
Theodor-Heuss-Straße / Rudolf-Diesel-Straße;0718;StrNRW;Porz;23.647.555,3;56.406.460,7
Theodor-Heuss-Straße / Stresemannstraße;7064;Stadt Köln;Porz;23.637.130,1;56.401.562,6
Wahner Straße / Gartenweg;7079;Stadt Köln;Porz;23.627.022,3;56.367.062,8
Waldstraße / Mühlenweg;7015;Stadt Köln;Porz;23.654.532,3;56.383.894,0
Alteburger Straße / Schönhauser Straße / Goltsteinstraße;2070;Stadt Köln;Rodenkirchen;23.571.485,9;56.420.892,8
Am Eifeltor / BAB4 Nord / GVZ;2080;Stadt Köln;Rodenkirchen;23.541.292,3;56.399.400,4
Am Eifeltor / BAB4 Süd / GVZ;2081;Stadt Köln;Rodenkirchen;23.540.314,2;56.396.708,4
Am Eifeltor / Zufahrt 1 / GVZ;2082;Stadt Köln;Rodenkirchen;23.539.840,9;56.395.083,6
Am Eifeltor / Zufahrt 3 / Zollstocker Weg-ehmals;2083;Stadt Köln;Rodenkirchen;23.538.588,1;56.388.340,1
Am Eifeltor / Zufahrt 4 / Zollstocker Weg-ehmals;2084;Stadt Köln;Rodenkirchen;23.537.025,3;56.386.401,4
Am Eifeltor / Zufahrt 5 / Zollstocker Weg-ehmals;2085;Stadt Köln;Rodenkirchen;23.535.076,0;56.384.531,4
Am Verteilerkreis / Militärringstraße / Bonner Straße / BAB 555;0210;StrNRW;Rodenkirchen;23.570.449,1;56.398.351,8
Bayenthalgürtel / Goltsteinstraße / Pferdmengesstraße;2067;Stadt Köln;Rodenkirchen;23.573.738,6;56.411.795,5
Bayenthalgürtel / Schillerstraße / Goethestraße;2066;Stadt Köln;Rodenkirchen;23.572.105,5;56.411.352,6
Bonner Landstraße / BAB555;0202;StrNRW;Rodenkirchen;23.573.948,0;56.370.017,8
Bonner Straße / Annastraße;2006;Stadt Köln;Rodenkirchen;23.568.563,6;56.412.736,4
Bonner Straße / Bayenthalgürtel / Raderberggürtel;2007;Stadt Köln;Rodenkirchen;23.568.844,3;56.410.929,9
Bonner Straße / Brühler Straße / Schönhauser Straße / Marktstraße;2003;Stadt Köln;Rodenkirchen;23.567.616,5;56.418.948,8
Bonner Straße / Cäsarstraße / Schule;2005;Stadt Köln;Rodenkirchen;23.568.245,2;56.414.750,6
Bonner Straße / Gaedestraße / Marienburger Straße;2008;Stadt Köln;Rodenkirchen;23.569.462,5;56.407.135,4
Bonner Straße / Leyboldstraße / Sinziger Straße;2009;Stadt Köln;Rodenkirchen;23.569.798,3;56.404.369,0
Bonner Straße / Lindenallee / Heidekaul;2010;Stadt Köln;Rodenkirchen;23.570.300,7;56.400.828,3
Bonner Straße / Mathiaskirchplatz;2004;Stadt Köln;Rodenkirchen;23.567.960,8;56.416.613,4
Brühler Landstraße / Alte Fischenicher Straße;0207;StrNRW;Rodenkirchen;23.541.412,7;56.365.149,4
Brühler Landstraße / Alte Köln Straße;2028;Stadt Köln;Rodenkirchen;23.540.764,6;56.363.509,7
Brühler Landstraße / Am Kölnberg;0206;StrNRW;Rodenkirchen;23.542.098,0;56.366.992,8
Brühler Landstraße / Auf dem Rosenhügel / Kindergarten / Am Magerhof;2029;Stadt Köln;Rodenkirchen;23.539.827,0;56.362.572,2
Brühler Landstraße / Auf der Ronne / Alte Brühler Straße;2030;Stadt Köln;Rodenkirchen;23.538.171,8;56.359.272,3
Brühler Landstraße / Höningen;2026;Stadt Köln;Rodenkirchen;23.551.186,3;56.390.189,4
Brühler Landstraße / Kapellenstraße / Karlscheurener Straße;0205;StrNRW;Rodenkirchen;23.547.540,2;56.382.221,4
Brühler Landstraße / Militärringstraße / Brühler Straße;0208;StrNRW;Rodenkirchen;23.557.156,7;56.400.442,3
Brühler Landstraße / Schulstraße;2027;Stadt Köln;Rodenkirchen;23.541.162,6;56.364.364,1
