Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
694;50;50;WV   Zollstock                ;Höninger Weg, Laterne 20-28   ;in Fahrtrichtung Pohligstraße      ;   
695;50;50;WW   Zollstock                ;Höninger Weg, Laterne 22-20   ;in Fahrtrichtung Eifelstraße       ;   
696;30;30;WX   Bilderstöckchen          ;Schiefersburger Weg, Lat.17-15;in Fahrtrichtung Longericher Straße;   
697;30;30;WY   Höhenberg                ;Weimarer Straße 69-51         ;in Fahrtrichtung Koburger Platz    ;   
698;30;30;WZ   Höhenberg                ;Weimarer Straße 36-34         ;in Fahrtrichtung Weimarer Platz    ;   
699;30;30;XA   Höhenberg                ;Weimarer Straße 25-17         ;in Fahrtrichtung Kösener Weg       ;   
700;30;30;XB   Höhenberg                ;Weimarer Straße 11-1          ;in Fahrtrichtung Geraer Platz      ;   
701;10;10;XC   Mülheim                  ;Regentenstraße 68-30          ;in Fahrtrichtung Seidenstraße      ;   
702;50;50;XD   Müngersdorf              ;Egelspfad/Gregor-Mendel-Ring  ;in Fahrtrichtung Gregor-Mendel-Ring;   
703;50;50;XE   Müngersdorf              ;Gregor-Mendel-Ring/Egelspfad  ;in Fahrtrichtung Lise-Meitner-Ring ;   
704;50;50;XF   Müngersdorf              ;Lise-Meitner-Ring/Egelspfad   ;in Fahrtrichtung Gregor-Mendel-Ring;   
705;30;30;XG   Lövenich                 ;Widdersdorfer Landstr.Lat.13-9;in Fahrtrichtung stadteinwärts     ;   
706;30;30;XH   Lövenich                 ;Widdersdorfer Landstr.Lat11-13;in Fahrtrichtung stadtauswärts     ;   
707;30;30;XI   Porz                     ;Siemensstraße Laterne 12-6    ;in Fahrtrichtung Ohmstraße         ;   
708;30;30;XJ   Porz                     ;Siemensstraße Laterne 6-12    ;in Fahrtrichtung Humboldtstraße    ;   
709;50;50;XK   Eil                      ;Bergerstraße Laterne 60-62    ;in Fahrtrichtung Frankfurter Straße;   
710;50;50;XL   Eil                      ;Bergerstraße LAterne 75-77    ;in Fahrtrichtung Frankfurter Straße;   
711;30;30;XM   Weiden                   ;Moltkestraße Laterne 22-24    ;in Fahrtrichtung Brauweiler Straße ;   
712;30;30;XN   Weiden                   ;Moltkestraße Laterne 22-20    ;in Fahrtrichtung Aachener Straße   ;   
713;50;50;XO   Raderthal                ;Brühler Straße 309-293        ;in Fahrtrichtung stadteinwärts     ;   
714;50;50;XP   Raderthal                ;Brühler Straße 239a-257       ;in Fahrtrichtung stadtauswärts     ;   
715;50;50;XQ   Junkersdorf              ;Vogelsanger Weg 93-83a        ;in Fahrtrichtung Aachener Straße   ;   
716;50;50;XR   Junkersdorf              ;Vogelsanger Weg, Laterne 7-9  ;in Fahrtrichtung Egelspfad         ;   
717;30;30;XS   Porz                     ;Rathausstraße, Haus Nr. 30-2  ;in FR. Friedrich-Ebert-Ufer        ;   
718;30;30;XT   Bickendorf               ;Feltenstraße, Haus Nr. 106-133;in Fahrtrichtung Sandweg           ;   
719;30;30;XU   Weiden                   ;Stormstraße, Laterne 22-16    ;in Fahrtrichtung Hölderlinstraße   ;   
720;30;30;XV   Weiden                   ;Stormstraße, Laterne 16-22    ;in Fahrtrichtung Ludwig-Jahn-Straße;   
721;30;30;XW   Rodenkirchen             ;Sürther Straße, Haus Nr. 11-1 ;in Fahrtrichtung Hauptstraße       ;   
722;30;30;XX   Raderberg                ;Annastraße, Haus Nr. 50-53    ;in Fahrtrichtung Bonner Straße     ;   
723;30;30;XY   Urbach                   ;Elsdorfer Straße 26-11        ;in Fahrtrichtung Zündorfer Straße  ;   
724;30;30;XZ   Dünnwald                 ;Leuchterstraße, Haus Nr. 10-30;in FR. Dünnwalder Mauspfad         ;   
725;50;50;YA   Nippes                   ;Kempener Straße, Laterne 8    ;in Fahrtrichtung stadtauswärts     ;   
726;50;50;YB   Nippes                   ;Kempener Straße, Haus Nr.38-74;in Fahrtrichtung stadtauswärts     ;   
727;50;50;YC   Nippes                   ;Kempener Straße 115-73        ;in Fahrtrichtung stadteinwärts     ;   
728;50;50;YD   Braunsfeld               ;Friedrich-Schmidt-Str.56-52   ;in Fahrtrichtung stadteinwärts     ;   
729;50;50;YE   Braunsfeld               ;Friedrich-Schmidt-Straße 48-58;in Fahrtrichtung stadtauswärts     ;   
730;50;50;YF   Braunsfeld               ;Friedrich-Schmidt-Str., Lat.56;in Fahrtrichtung stadtauswärts     ;   
731;30;30;YG   Weidenpesch              ;Rennbahnstraße, Haus Nr. 10-20;in Fahrtrichtung Scheibenstraße    ;   
732;30;30;YH   Weiden                   ;Frechener Weg, Haus Nr. 11-7  ;in Fahrtrichtung Aachener Straße   ;   
733;30;30;YI   Weiden                   ;Frechener Weg, Haus Nr. 54-58 ;in Fahrtrichtung Bonnstraße        ;   
734;30;30;YJ   Wahn                     ;St.-Ägidius-Str., Laterne 11-1;in Fahrtrichtung Heidestraße       ;   
735;30;30;YK   Wahn                     ;St.-Ägidius-Str. Laterne 5-11 ;in Fahrtrichtung Nachtigallenstraße;   
736;30;30;YL   Wahn                     ;St.-Ägidius-Straße 21-13c     ;in Fahrtrichtung Heidestraße       ;   
737;30;30;YM   Wahn                     ;St.-Ägidius-Straße, Lat. 10-14;in Fahrtrichtung Nachtigallenstraße;   
738;50;50;YN   Dünnwald                 ;Berliner Straße, Haus Nr. 1023;in Fahrtrichtung stadteinwärts     ;   
739;30;30;YO   Dünnwald                 ;Amselstraße, Haus Nr. 47-3    ;in Fahrtrichtung Leuchterstraße    ;   
740;30;30;YP   Dünnwald                 ;Amselstraße, Haus Nr. 6-22    ;in Fahrtrichtung Odenthaler Straße ;   
741;30;30;YQ   Buchheim                 ;Alte Wipperfürther Str. 20-22 ;in Fahrtrichtung Malteserstraße    ;   
742;30;30;YR   Buchheim                 ;Alte Wipperfürther Str. 50-70 ;in Fahrtrichtung Herler Straße     ;   
743;30;30;YS   Buchheim                 ;Alte Wipperfürther Str. 60-56 ;in Fahrtrichtung Frankfurter Straße;   
744;30;30;YT   Buchheim                 ;Alte Wipperfürther Str. 56-50 ;in Fahrtrichtung Frankfurter Straße;   
745;10;10;YU   Widdersdorf              ;Indianapolisstraße, Haus Nr.45;in FR. Unter Gottes Gnaden         ;   
746;10;10;YV   Widdersdorf              ;Indianapolisstraße, Haus Nr.39;in Fahrtrichtung Hauptstraße       ;   
747;30;30;YW   Flittard                 ;Roggendorfstraße, Laterne 13-9;in Fahrtrichtung Düsseldorfer Str. ;   
748;30;30;YX   Pesch                    ;Schulstraße, Haus Nr. 73-75a  ;in Fahrtrichtung Montessoristraße  ;   
749;30;30;YY   Pesch                    ;Schulstraße, Haus Nr. 75a-55  ;in Fahrtrichtung Mengenicher Straße;   
750;30;30;YZ   Pesch                    ;Schulstraße, Laterne Nr. 32   ;in Fahrtrichtung Fröbelstraße      ;   
751;30;30;ZA   Junkersdorf              ;Blumenallee, Laterne 29-41    ;in Fahrtrichtung Vogelsanger Weg   ;   
752;30;30;ZB   Junkersdorf              ;Blumenallee, Laterne 41-33    ;in Fahrtrichtung Birkenallee       ;   
753;30;30;ZC   Bayenthal                ;Goltsteinstraße, Haus Nr.47-61;in Fahrtrichtung Tacitusstraße     ;   
754;30;30;ZD   Bayenthal                ;Goltsteinstraße, Haus Nr.71-77;in Fahrtrichtung Tacitusstraße     ;   
755;30;30;ZE   Bayenthal                ;Goltsteinstr., Haus Nr.108-114;in Fahrtrichtung Cäsarstraße       ;   
756;30;30;ZF   Rondorf                  ;Kapellenstraße, Laterne 26-32 ;in Fahrtrichtung Brühler Landstraße;   
757;30;30;ZG   Rondorf                  ;Kapellenstraße, Laterne 32-26 ;in FR. Rondorfer Hauptstraße       ;   
758;30;30;ZH   Rondorf                  ;Kapellenstraße, Laterne 32    ;in FR. Rondorfer Hauptstraße       ;   
759;50;50;ZI   Porz                     ;Hauptstraße, Laterne 192-196  ;in Fahrtrichtung Bergerstraße      ;   
760;50;50;ZJ   Porz                     ;Hauptstraße, Haus Nr. 407-397 ;in Fahrtrichtung Karlstraße        ;   
761;50;50;ZK   Porz                     ;Hauptstraße, Haus Nr. 439-435 ;in Fahrtrichtung Rathausstraße     ;   
762;50;50;ZL   Porz                     ;Friedrichstraße, Haus Nr. 13-5;in Fahrtrichtung Bahnhofstraße     ;   
763;50;50;ZM   Porz                     ;Bergerstraße, Haus Nr. 125-111;in Fahrtrichtung Hauptstraße       ;   
764;50;50;ZN   Höhenberg                ;Fuldaer Straße, Haus Nr. 69-59;in Fahrtrichtung Olpener Straße    ;   
765;50;50;ZO   Höhenberg                ;Fuldaer Straße, Haus Nr. 66-76;in Fahrtrichtung Frankfurter Straße;   
766;50;50;ZP   Neustadt/Nord            ;Krefelder Straße 101-73       ;in Fahrtrichtung Hansaring         ;   
767;50;50;ZQ   Neustadt/Nord            ;Krefelder Straße 66-82        ;in Fahrtrichtung Innere Kanalstraße;   
768;50;50;ZR   Neustadt/Nord            ;Krefelder Straße 22-42        ;in Fahrtrichtung Balthasarstraße   ;   
769;50;50;ZS   Höhenhaus                ;Sigwinstraße, Haus Nr. 12-26  ;in Fahrtrichtung Thuleweg          ;   
770;50;50;ZT   Höhenhaus                ;Sigwinstraße, Haus Nr. 26-12  ;in Fahrtruchtung Honschaftsstraße  ;   
771;30;30;ZU   Stammheim                ;Gisbertstraße, Haus Nr. 79-41 ;in FR. Stammheimer Hauptstraße     ;   
772;30;30;ZV   Stammheim                ;Wolfskaul, Haus Nr. 4         ;in Fahrtrichtung Reichenbachstraße ;   
773;30;30;ZW   Stammheim                ;Wolfskaul, Haus Nr. 12        ;in Fahrtrichtung Gerstenkamp       ;   
774;50;50;ZX   Wahn                     ;Frankfurter Straße 323-299    ;in Fahrtrichtung Lind              ;   
775;50;50;ZY   Wahn                     ;Frankfurter Str., Lat.533-523 ;in Fahrtrichtung Urbach            ;   
776;30;30;ZZ   Dünnwald                 ;An der Walkmühle 20-72        ;in Fahrtrichtung Leuchterstraße    ;   
777;30;30;A0   Höhenberg                ;Oranienstraße, Haus Nr.155-131;in Fahrtrichtung Burgstraße        ;   
778;30;30;A1   Höhenberg                ;Oranienstraße, Haus Nr. 96-160;in Fahrtrichtung Olpener Straße    ;   
779;30;30;A2   Vingst                   ;Oranienstraße, Laterne 10-12  ;in Fahrtrichtung Olpener Straße    ;   
780;30;30;A3   Zündorf                  ;Heerstraße, Haus Nr. 47-25    ;in Fahrtrichtung Schulzentrum      ;   
781;30;30;A4   Zündorf                  ;Heerstraße, Haus Nr. 29-39    ;in Fahrtrichtung Wahner Straße     ;   
782;30;30;A5   Vingst                   ;Heßhofstraße, Haus Nr. 12-30  ;in Fahrtrichtung Amtsstraße        ;   
783;30;30;A6   Zollstock                ;Höninger Weg, Haus Nr. 243-239;in Fahrtrichtung Gottesweg         ;   
784;30;30;A7   Zollstock                ;Höninger Weg, Haus Nr. 208-210;in Fahrtrichtung Bernkasteler Str. ;   
785;50;50;A8   Zollstock                ;Höninger weg, Haus Nr. 259-251;in Fahrtrichtung Zollstocksweg     ;   
786;50;50;A9   Zollstock                ;Höninger Weg, Haus Nr. 255-263;in Fahrtrichtung Kalscheurer Weg   ;   
787;50;50;B0   Zollstock                ;Höninger Weg, Haus Nr. 273-267;in Fahrtrichtung Walberberger Str. ;   
788;30;30;B1   Mülheim                  ;Montanusstraße, Haus Nr.43-83 ;in FR. Bergisch Gladbacher Straße  ;   
789;30;30;B2   Mülheim                  ;Montanusstraße 107-113        ;in FR. Bergisch Gladbacher Straße  ;   
790;30;30;B3   Mülheim                  ;Montanusstraße 113-97a        ;in Fahrtrichtung Frankfurter Straße;   
791;30;30;B4   Mülheim                  ;Montanusstraße, Haus Nr. 87-39;in Fahrtrichtung Frankfurter Straße;   
792;50;50;B5   Riehl                    ;Amsterdamer Straße 81-77      ;in Fahrtrichtung Zoobrücke         ;   
793;50;50;B6   Niehl                    ;Amsterdamer Straße 267-257    ;in Fahrtrichtung Nesselrodestraße  ;   
794;50;50;B7   Niehl                    ;Amsterdamer Straße 243-233    ;in Fahrtrichtung Pohlmannstraße    ;   
795;50;50;B8   Niehl                    ;Amsterdamer Straße 214-216    ;in Fahrtrichtung stadtauswärts     ;   
796;50;50;B9   Niehl                    ;Amsterdamer Str., Lat. 120-122;in Fahrtrichtung stadtauswärts     ;   
797;10;10;C0   Merheim                  ;Am Sonnenhut, Haus Nr. 75-217 ;in Fahrtrichtung Fenchelweg        ;   
798;10;10;C1   Merheim                  ;Am Sonnenhut, Haus Nr. 217-75 ;in Fahrtrichtung Madausstraße      ;   
799;50;50;C2   Ehrenfeld                ;Melatengürtel, Haus Nr.108-112;in Fahrtrichtung Ehrenfeldgürtel   ;   
800;50;50;C3   Ehrenfeld                ;Ehrenfeldgürtel, Laterne 9-5  ;in Fahrtrichtung Melatengürtel     ;   
801;30;30;C4   Porz-Elsdorf             ;Tiergartenstraße, Laterne 4-8 ;in Fahrtrichtung Haus Wolle        ;   
802;30;30;C5   Porz-Elsdorf             ;Tiergartenstraße, Laterne 8-2 ;in Fahrtrichtung Friedensstraße    ;   
803;30;30;C6   Bilderstöckchen          ;Longericher Straße 101-67     ;in Fahrtrichtung Parkgürtel        ;   
804;30;30;C7   Bilderstöckchen          ;Longericher Straße 75-113     ;in Fahrtrichtung TÜV               ;   
805;30;30;C8   Höhenhaus                ;Am Flachsrosterweg, Laterne 24;in Fahrtrichtung Berliner Straße   ;   
806;30;30;C9   Höhenhaus                ;Am Flachsrosterweg, Lat. 18-16;in Fahrtrichtung Berliner Straße   ;   
807;30;30;D1   Höhenhaus                ;Am Flachsrosterweg, Lat.12a-12;in Fahrtrichtung Berliner Straße   ;   
808;30;30;D2   Höhenhaus                ;Am Flachsrosterweg, Lat. 12-14;in FR. Dünnwalder Kommunalweg      ;   
809;30;30;D3   Höhenhaus                ;Am Flachsrosterweg, Lat. 16-18;in FR. Dünnwalder Kommunalweg      ;   
810;30;30;D4   Höhenhaus                ;Am Flachsrosterweg, Lat. 24-26;in FR. Dünnwalder Kommunalweg      ;   
811;50;50;D5   Klettenberg              ;Luxemburger Straße 331-325    ;in Fahrtrichtung stadteinwärts     ;   
812;30;30;D6   Sülz                     ;Wichterichstraße, Laterne 16-4;in Fahrtrichtung Sülzburgstraße    ;   
813;30;30;D7   Sülz                     ;Euskirchener Straße 66-54     ;in Fahrtrichtung Mommsenstraße     ;   
814;30;30;D8   Sülz                     ;Euskirchener Straße 54-66     ;in Fahrtrichtung Neuenhöfer Allee  ;   
815;50;50;D9   Lindenthal               ;Mommsenstraße, Haus Nr.124-130;in Fahrtrichtung Bachemer Straße   ;   
816;50;50;E1   Lindenthal               ;Mommsenstraße, Haus Nr. 67-61 ;in Fahrtrichtung Gleueler Straße   ;   
817;30;30;E2   Vingst                   ;Homarstraße, Haus Nr. 51-45   ;in Fahrtrichtung Ostheimer Straße  ;   
818;30;30;E3   Vingst                   ;Homarstraße, Haus Nr. 64-78   ;in Fahrtrichtung Poll-Vingster Str.;   
819;50;50;E4   Lindenthal               ;Lindenthalgürtel, Lat.6-Haus36;in Fahrtrichtung Braunsfeld        ;   
820;50;50;E5   Lindenthal               ;Lindenthalgürtel, Haus Nr. 78 ;in Fahrtrichtung Braunsfeld        ;   
821;50;50;E6   Lindenthal               ;Lindenthalgürtel, HausNr.99-71;in Fahrtrichtung Sülz              ;   
822;50;50;E7   Lindenthal               ;Lindenthalgürtel, HausNr.35-31;in Fahrtrichtung Sülz              ;   
823;50;50;E8   Lindenthal               ;Dürener Straße, Laterne 41-53 ;in Fahrtrichtung stadtauswärts     ;   
824;50;50;E9   Lindenthal               ;Dürener Straße, HausNr.292-256;in Fahrtrichtung stadteinwärts     ;   
825;30;30;F1   Porz                     ;Urbacher Weg, Laterne 9-13    ;in Fahrtrichtung Kölner Straße     ;   
826;30;30;F2   Porz                     ;Urbacher Weg, Laterne 25-19   ;in Fahrtrichtung Steinstraße       ;   
827;10;10;F3   Rath/Heumar              ;An der Rather Burg 47a-43     ;in Fahrtrichtung Tennishalle       ;   
828;10;10;F4   Rath/Heumar              ;An der Rather Burg 45a-55a    ;in Fahrtrichtung Gröppersgasse     ;   
829;10;10;F5   Rath/Heumar              ;An der Rather Burg, Laterne7-5;in Fahrtrichtung Gröppersgasse     ;   
830;50;50;F6   Lindenthal               ;Oskar-Jäger-Straße, Lat. 7-15 ;in Fahrtrichtung Melatengürtel     ;   
