vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10118;29;E-;39;6;04a;S-01;63
10118;111;K-;50;17;04a;S-01;60
10118;315;ME-;60;7;04a;S-01;9
10118;400;K-;62;9;04a;K-04;7018
10118;431;-1;82;19;04a;S-01;972
10118;644;D-;39;6;04a;S-01;63
10118;653;SU-;78;15;04a;S-01;981
10118;834;HH-;61;8;04a;S-01;17
10118;1208;MA-;54;21;04a;S-01;60
10118;1417;SU-;42;9;04a;S-01;60
10118;1901;K-;49;16;04a;S-01;62
10118;2021;-1;65;12;04a;S-01;17
10118;2045;AC-;85;52;04a;S-01;62
10118;2111;BM-;39;6;04a;S-01;62
10118;2124;BOH-;42;9;04a;S-01;63
10118;2127;-67;69;16;04a;S-01;7
10118;2221;K-;59;6;04a;S-01;9
10118;2235;K-;58;5;04a;K-04;7018
10118;2240;K-;41;8;04a;S-01;62
10118;2517;-1;46;13;04a;S-01;60
10118;2542;DU-;75;12;04a;S-01;972
10118;2959;SU-;43;10;04a;S-01;62
10118;3016;K-;67;14;04a;S-01;17
10118;3126;SU-;61;8;04a;S-01;7
10118;3127;MS-;71;8;04a;S-01;981
10118;3143;SI-;40;7;04a;S-01;62
10118;3350;DN-;77;14;04a;S-01;972
10118;3531;-1;50;17;04a;S-01;62
10118;3559;NE-;41;8;04a;S-01;60
10118;3806;K-;39;6;04a;S-01;36
10118;4138;DAU-;65;12;04a;S-01;17
10118;4150;BM-;60;7;04a;S-01;10
10118;4408;BI-;42;9;04a;S-01;32
10118;4744;WI-;61;8;04a;S-01;9
10118;5015;KO-;62;9;04a;S-01;10
10118;5340;K-;40;7;04a;S-01;60
10118;5800;M-;109;45;04a;S-01;982
10118;5800;M-;108;44;04a;S-01;983
10118;10147;NE-;69;6;04a;S-01;981
10118;10207;K-;59;6;04a;S-01;9
10118;10446;BM-;40;7;04a;S-01;6138
10118;10730;D-;61;8;04a;S-01;7
10118;10823;BM-;39;6;04a;S-01;62
10118;11051;K-;60;7;04a;S-01;29
10118;11420;BM-;40;7;04a;S-01;6139
10118;11744;M-;47;14;04a;S-01;62
10118;11755;K-;62;9;04a;S-01;9
10118;11855;-1;39;6;04a;S-01;60
10118;11931;GM-;42;9;04a;S-01;62
10118;11959;LEV-;65;12;04a;K-04;7018
10118;12118;K-;42;9;04a;S-01;62
10118;12127;GF-;39;6;04a;S-01;6139
10118;12303;KS-;40;7;04a;S-01;62
10118;12308;HS-;44;11;04a;S-01;63
10118;12321;SG-;73;10;04a;S-01;982
10118;12426;E-;64;11;04a;S-01;11
10118;12510;K-;39;6;04a;S-01;32
10118;12617;LP-;78;15;04a;S-01;972
10118;12656;SU-;42;9;04a;S-01;62
10118;12802;GL-;61;8;04a;S-01;10
10118;12814;SU-;40;7;04a;S-01;39
10118;12843;GM-;43;10;04a;S-01;62
10118;13030;ME-;63;10;04a;S-01;16
10118;13042;K-;59;6;04a;K-04;7018
10118;13438;K-;47;14;04a;S-01;6139
10118;13547;BM-;47;14;04a;S-01;6139
10118;13629;K-;42;9;04a;S-01;60
10118;13717;NE-;65;12;04a;S-01;9
10118;13719;K-;42;9;04a;S-01;6139
