vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10818;229;D-;76;13;04a;S-01;971
10818;255;WES-;44;11;04a;S-01;61
10818;330;GL-;44;11;04a;S-01;39
10818;402;K-;41;8;04a;S-01;62
10818;439;GEL-;56;23;04a;S-01;61
10818;812;W-;69;6;04a;S-01;982
10818;812;W-;69;6;04a;S-01;981
10818;1339;SU-;55;22;04a;S-01;39
10818;1459;SU-;45;12;04a;S-01;62
10818;1639;K-;59;6;04a;S-01;25
10818;1656;DO-;69;6;04a;S-01;981
10818;1926;K-;44;11;04a;S-01;61
10818;2151;GL-;59;6;04a;S-01;7
10818;2223;KLE-;91;28;04a;S-01;971
10818;2435;DN-;64;11;04a;S-01;17
10818;2535;BM-;69;6;04a;S-01;971
10818;2539;NE-;67;14;04a;S-01;7
10818;2624;BOT-;102;38;04a;S-01;971
10818;2636;BOT-;73;10;04a;S-01;981
10818;2636;BOT-;73;10;04a;S-01;982
10818;3319;RE-;60;7;04a;S-01;7
10818;3620;OP-;73;10;04a;S-01;982
10818;3935;GM-;64;11;04a;S-01;17
10818;4957;DL-;90;27;04a;S-01;972
10818;5009;DL-;84;21;04a;S-01;982
10818;10128;M-;59;6;04a;S-01;7
10818;10421;H-;94;31;04a;S-01;972
10818;10425;M-;41;8;04a;S-01;62
10818;10603;MG-;72;9;04a;S-01;971
10818;10617;MG-;71;8;04a;S-01;981
10818;10703;FZ-;74;11;06c;S-01;971
10818;10936;D-;70;7;04a;S-01;981
10818;11519;KR-;44;11;04a;S-01;62
10818;15457;GT-;74;11;04a;S-01;972
10818;15512;GT-;72;9;04a;S-01;982
10818;15546;SU-;40;7;04a;S-01;62
10818;20726;M-;61;8;04a;S-01;7
10818;20811;LEV-;40;7;04a;S-01;31
10818;20924;UN-;47;14;04a;S-01;61
10818;21133;BM-;41;8;04a;S-01;61
10818;21800;GL-;75;12;04a;S-01;982
10818;21801;GL-;75;12;04a;S-01;983
10818;22118;WST-;76;13;04a;S-01;971
10818;22736;MS-;70;17;04a;S-01;14
10818;22740;DO-;85;22;04a;S-01;972
10818;22858;EU-;77;14;05a;S-01;971
10818;23313;K-;41;8;04a;S-01;61
10818;23315;;61;8;04a;S-01;7
10818;23504;K-;75;12;04a;S-01;972
10818;23506;VIE-;74;11;04a;S-01;972
10818;23620;LZ-;64;11;04a;S-01;7
10818;25701;K-;45;12;04a;S-01;32
10818;30759;HAM-;70;7;04a;S-01;972
10818;30800;-6;72;9;04a;S-01;972
10818;30901;K-;43;10;04a;S-01;62
10818;30908;K-;51;18;04a;S-01;39
10818;31209;EG-;116;52;04a;S-01;972
10818;31227;AM-;86;23;04a;S-01;982
10818;31453;EN-;74;11;04a;S-01;981
10818;31517;LÜN-;91;28;04a;S-01;972
10818;31822;MO-;77;14;04a;S-01;972
10818;32616;K-;69;16;04a;S-01;17
10818;33230;BO-;78;15;04a;S-01;972
10818;33454;AK-;40;7;04a;S-01;62
10818;33624;BOR-;110;46;04a;S-01;972
10818;33636;BOR-;77;14;04a;S-01;982
10818;33819;BO-;78;15;04a;S-01;972
10818;34349;K-;44;11;04a;S-01;62
10818;34407;OEH-;69;6;04a;S-01;971
10818;34651;BM-;71;8;04a;S-01;981
10818;34758;ME-;39;6;04a;S-01;62
10818;34855;BM-;41;8;04a;S-01;61
10818;35223;BN-;46;13;04a;S-01;39
10818;35242;-2629;74;11;04a;S-01;972
10818;40355;COC-;72;9;04a;S-01;972
10818;40454;BM-;41;8;04a;S-01;61
10818;41209;KK-;64;11;04a;S-01;7
10818;41334;K-;55;22;04a;S-01;39
10818;41748;SU-;39;6;04a;S-01;61
10818;42330;BM-;73;10;04a;S-01;972
10818;42345;BM-;75;12;04a;S-01;981
10818;42519;PS-;70;7;04a;S-01;972
10818;43111;OS-;93;30;04a;S-01;972
10818;43512;BM-;40;7;04a;S-01;62
10818;43753;BN-;44;11;04a;S-01;61
10818;43825;KV-;74;11;04a;S-01;972
10818;44421;K-;82;19;04a;S-01;972
10818;44434;K-;80;17;04a;S-01;982
10818;45934;MG-;69;6;04a;S-01;982
10818;50414;K-;70;17;04a;S-01;16
10818;51223;DU-;59;6;04a;S-01;7
10818;51813;-1;84;21;04a;S-01;973
10818;53726;MYK-;68;15;04a;K-04;7020
10818;53734;K-;48;15;04a;S-01;62
10818;54309;BM-;49;16;04a;S-01;62
10818;54514;W-;39;6;04a;S-01;62
10818;54830;AW-;48;15;04a;S-01;62
10818;55022;K-;70;7;04a;S-01;972
10818;55359;SU-;60;7;04a;S-01;25
10818;55653;CB-;50;17;04a;S-01;39
10818;60226;D-;69;6;04a;S-01;981
10818;61547;OF-;75;12;04a;S-01;982
10818;61616;GL-;68;15;04a;K-04;7019
10818;61945;K-;43;10;04a;S-01;62
10818;62732;BM-;42;9;04a;S-01;61
10818;62920;DIN-;61;8;04a;K-04;7019
10818;63401;K-;62;9;04a;S-01;16
10818;63424;B-;45;12;04a;S-01;62
10818;63620;K-;59;6;04a;K-04;7019
10818;63640;EU-;50;17;04a;S-01;61
10818;63900;OS-;60;7;04a;S-01;17
10818;64348;RO-;39;6;04a;S-01;62
10818;64609;MZ-;81;18;04a;S-01;973
10818;65407;F-;60;7;04a;S-01;16
10818;65434;K-;51;18;04a;S-01;62
10818;65550;DU-;40;7;06b;S-02;266
10818;65558;BM-;40;7;04a;S-01;38
10818;70001;K-;41;8;04a;S-02;266
10818;70055;BM-;69;6;04a;S-01;983
10818;70152;DAU-;40;7;04a;S-02;266
10818;70241;SU-;41;8;04a;S-01;61
10818;70349;K-;40;7;04a;S-01;62
10818;70401;GR-;41;8;04a;S-01;62
10818;70435;K-;39;6;04a;S-01;39
10818;70617;K-;42;9;04a;S-01;61
10818;70654;K-;40;7;04a;S-01;31
10818;70754;BM-;48;15;04a;S-02;266
10818;71002;BM-;43;10;04a;S-01;61
10818;71104;K-;68;15;04a;S-02;852
10818;71153;GL-;63;10;04a;S-02;852
10818;71212;K-;39;6;04a;S-02;534
10818;71239;K-;59;6;04a;K-04;7020
10818;71249;NE-;59;6;04a;S-02;852
10818;71338;K-;69;16;04a;S-02;852
10818;71429;AC-;39;6;04a;S-02;534
10818;71444;K-;61;8;04a;S-02;852
10818;71518;EU-;42;9;04a;S-02;266
10818;71545;EU-;39;6;04a;S-02;266
10818;71649;EU-;49;16;04a;S-02;266
10818;71650;SU-;40;7;04a;S-02;534
10818;71652;LEV-;62;9;04a;S-02;852
10818;71723;K-;66;13;04a;S-02;852
10818;71825;F-;53;20;04a;S-02;266
10818;71834;EU-;49;16;04a;S-02;266
10818;71840;K-;42;9;04a;S-02;266
10818;71914;AC-;66;13;04a;S-02;852
10818;71916;BN-;59;6;04a;S-02;852
10818;72000;GL-;43;10;04a;S-01;39
10818;72012;K-;75;22;04a;S-02;852
10818;72104;GLA-;60;7;04a;S-02;852
10818;72156;BM-;79;26;04a;S-02;852
10818;72341;GM-;39;6;04a;S-02;534
10818;72353;LEV-;60;7;04a;S-02;852
10818;72407;K-;39;6;04a;S-02;266
10818;72534;K-;42;9;04a;S-02;534
10818;72628;K-;70;17;04a;S-02;852
10818;72740;K-;47;14;04a;S-01;62
10818;72753;K-;44;11;04a;S-02;534
10818;72755;K-;43;10;04a;S-01;62
10818;72903;K-;39;6;04a;S-02;509
10818;73113;BM-;40;7;04a;S-02;266
10818;73115;BN-;39;6;04a;S-02;266
10818;73158;-5066;41;8;06a;S-02;266
10818;73230;EU-;39;6;04a;S-02;266
10818;73235;EU-;42;9;04a;S-02;266
10818;73323;K-;42;9;08b;S-02;266
10818;73509;K-;39;6;04a;S-01;36
10818;73832;HSK-;60;7;04a;S-01;17
10818;73852;EU-;39;6;04a;S-02;266
10818;73920;K-;68;15;04a;S-02;852
10818;74016;ME-;60;7;04a;S-02;852
10818;74039;K-;59;6;04a;S-02;852
10818;74052;RS-;59;6;04a;S-01;29
10818;74108;K-;66;13;04a;S-02;852
10818;74254;ROW-;60;7;04a;S-01;7
10818;74344;K-;40;7;04a;S-02;534
10818;74458;K-;39;6;04a;S-02;509
10818;74536;DA-;61;8;04a;S-01;25
10818;74556;SU-;59;6;04a;S-02;852
10818;74559;EU-;45;12;04a;S-02;266
