vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10418;147;K-;44;11;04a;S-01;60
10418;939;DH-;71;8;04a;S-01;983
10418;1036;RE-;47;14;04a;S-01;64
10418;1147;GM-;61;8;04a;S-01;10
10418;1148;FB-;59;6;04a;S-01;7
10418;1303;-14;77;14;04a;S-01;972
10418;1342;K-;59;6;04a;S-01;7
10418;1436;K-;44;11;04a;S-01;60
10418;1525;-5;81;18;04a;S-01;972
10418;1627;BOT-;71;8;04a;S-01;981
10418;1743;HB-;74;11;04a;S-01;972
10418;1800;HH-;60;7;04a;S-01;7
10418;1804;MO-;48;15;04a;S-01;64
10418;1914;K-;44;0;04a;K-04;7018
10418;2213;LDK-;71;8;04a;S-01;972
10418;2328;SU-;50;17;04a;S-01;60
10418;2525;-1;76;13;04a;S-01;981
10418;2752;;61;8;04a;K-04;7018
10418;2952;-8;71;8;04a;S-01;973
10418;3018;K-;66;13;04a;S-01;9
10418;3211;JCS-;69;6;04a;S-01;983
10418;3346;BT-;71;8;04a;S-01;972
10418;3714;LEV-;78;25;04a;K-04;7019
10418;3718;LM-;94;31;04a;S-01;972
10418;3948;AC-;55;22;04a;S-01;64
10418;4026;OP-;46;13;04a;S-01;60
10418;4402;K-;61;8;04a;S-01;7
10418;4607;SU-;75;12;04a;S-01;981
10418;4609;SU-;71;8;04a;S-01;981
10418;4723;SU-;67;14;04a;S-01;17
10418;4947;K-;42;9;04a;S-01;39
10418;5227;MK-;62;9;04a;S-01;17
10418;5313;;41;8;04a;S-01;60
10418;5626;K-;63;10;04a;S-01;10
10418;5758;K-;61;8;04a;S-01;7
10418;5958;DO-;63;10;04a;S-01;16
10418;10007;GV-;73;10;04a;S-01;981
10418;10012;NE-;39;6;04a;S-01;64
10418;10152;K-;64;11;04a;S-01;9
10418;10539;MI-;69;6;04a;S-01;972
10418;10826;-52;69;6;04a;S-01;972
10418;10852;DO-;60;7;04a;S-01;10
10418;11110;-1;81;18;04a;S-01;983
10418;11110;-1;81;18;04a;S-01;982
10418;12328;SI-;69;6;04a;S-01;981
10418;12416;MG-;62;9;04a;S-01;17
