vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
11218;1;K-;63;10;04a;S-01;6198
11218;3;EU-;66;13;04a;S-01;16
11218;21;K-;72;19;04a;S-01;6198
11218;39;LM-;73;20;04a;S-01;6198
11218;44;MON-;42;9;04a;S-01;63
11218;52;K-;50;17;04a;S-01;60
11218;112;M-;59;6;04a;S-01;11
11218;115;SG-;79;16;04a;S-01;972
11218;116;GL-;53;20;04a;S-01;62
11218;138;EU-;88;25;04a;S-01;972
11218;140;-1;41;8;04a;S-01;63
11218;144;K-;41;8;04a;S-01;60
11218;145;HER-;70;7;04a;S-01;982
11218;149;GL-;68;15;04a;S-01;6198
11218;230;GL-;60;7;04a;S-01;6198
11218;259;K-;60;7;04a;S-01;6198
11218;326;K-;64;11;04a;S-01;6198
11218;327;K-;59;6;04a;S-01;6198
11218;430;BO-;63;10;04a;S-01;6198
11218;501;K-;39;6;04a;S-01;23
11218;519;GM-;60;7;04a;S-01;6198
11218;541;SO-;42;9;04a;S-01;64
11218;601;K-;65;12;04a;S-01;6198
11218;608;WI-;59;6;04a;S-01;8
11218;638;GL-;66;13;04a;S-01;6198
11218;731;K-;63;10;04a;S-01;6198
11218;829;K-;59;6;04a;S-01;6198
11218;840;DD-;59;6;04a;S-01;17
11218;841;DD-;60;7;04a;S-01;17
11218;857;GL-;62;9;04a;S-01;6198
11218;903;K-;39;6;04a;S-01;60
11218;909;SU-;61;8;04a;S-01;6198
11218;933;K-;60;7;04a;S-01;6198
11218;938;KS-;72;9;04a;S-01;973
11218;942;SU-;61;8;04a;S-01;8
11218;1025;K-;39;6;04a;S-01;62
11218;1029;AH-;52;19;04a;S-01;63
11218;1032;K-;65;12;04a;S-01;6198
11218;1046;W-;63;10;04a;S-01;6198
11218;1204;K-;61;8;04a;S-01;6198
11218;1221;K-;45;12;04a;S-01;36
11218;1222;GL-;64;11;04a;S-01;6198
11218;1223;SU-;59;6;04a;S-01;17
11218;1330;K-;60;7;04a;S-01;6198
11218;1331;SU-;60;7;04a;S-01;17
11218;1331;EU-;59;6;04a;S-01;8
11218;1354;D-;41;8;04a;S-01;62
11218;1358;LEV-;64;11;04a;S-01;6198
11218;1501;MY-;89;26;04a;S-01;981
11218;1506;SU-;69;16;04a;S-01;6198
11218;1517;K-;42;9;04a;S-01;27
11218;1524;NE-;73;10;04a;S-01;973
11218;1632;GM-;63;10;04a;S-01;6198
11218;1635;GL-;59;6;04a;S-01;6198
11218;1647;K-;53;20;04a;S-01;63
11218;1820;K-;59;6;04a;S-01;8
11218;1918;K-;64;11;04a;S-01;6198
11218;1945;K-;41;8;04a;S-01;62
11218;1949;K-;66;13;04a;S-01;6198
11218;1954;NE-;62;9;04a;S-01;6198
11218;2005;K-;61;8;04a;S-01;10
11218;2014;K-;60;7;04a;S-01;6198
11218;2014;K-;60;7;04a;S-01;17
11218;2047;LEV-;62;9;04a;S-01;6198
11218;2051;GL-;59;6;04a;S-01;6198
11218;2054;W-;43;10;04a;S-01;60
11218;2115;GL-;44;11;04a;S-01;62
11218;2153;K-;61;8;04a;S-01;6198
11218;2158;DU-;43;10;04a;S-01;64
11218;2210;K-;67;14;04a;S-01;6198
11218;2233;GL-;59;6;04a;S-01;6198
11218;2334;VIE-;47;14;04a;S-01;64
11218;2342;GL-;59;6;04a;S-01;6198
11218;2359;GL-;70;17;04a;S-01;6198
11218;2403;BM-;65;12;04a;S-01;6198
11218;2411;AC-;41;8;04a;S-01;63
11218;2419;GL-;62;9;04a;S-01;6198
11218;2449;K-;61;8;04a;S-01;8
11218;2452;K-;41;8;04a;S-01;62
11218;2501;GL-;66;13;04a;S-01;6198
11218;2516;GL-;61;8;04a;S-01;6198
11218;2528;ZW-;64;11;04a;S-01;8
