vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10718;214;WI-;75;12;04a;S-01;973
10718;351;GM-;68;15;04a;S-01;10
10718;718;E-;62;9;04a;S-01;10
10718;938;GL-;42;9;04a;S-01;60
10718;950;GL-;61;8;04a;S-01;16
10718;1030;BM-;42;9;04a;S-01;60
10718;1316;K-;65;12;04a;S-01;7
10718;1345;K-;59;6;04a;S-01;9
10718;2142;MK-;70;7;04a;S-01;973
10718;2545;LM-;68;15;04a;S-01;14
10718;2806;K-;45;12;04a;S-01;39
10718;3633;GL-;70;7;04a;S-01;981
10718;3804;EU-;48;15;04a;S-01;60
10718;3833;BM-;60;7;04a;S-01;16
10718;4616;AC-;59;6;04a;S-01;17
10718;4936;GM-;43;10;04a;S-01;39
10718;5026;K-;60;7;04a;S-01;7
10718;5316;NR-;64;11;04a;S-01;16
10718;5432;K-;43;10;04a;S-01;39
10718;5530;HA-;59;6;04a;S-01;14
10718;5534;SU-;63;10;04a;S-01;17
10718;5540;K-;71;8;04a;S-01;973
10718;5828;K-;60;7;04a;S-01;17
10718;5905;GV-;39;6;04a;S-01;60
10718;10501;LEV-;83;30;04a;K-04;7019
10718;10529;D-;45;12;04a;S-01;60
10718;10533;K-;49;16;04a;S-01;60
10718;10650;BM-;62;9;04a;S-01;17
10718;10726;GL-;42;9;04a;S-01;39
10718;10911;K-;42;9;04a;S-01;60
10718;10937;SU-;59;6;04a;S-01;17
10718;11004;E-;59;6;04a;S-01;9
10718;11151;BM-;42;9;04a;S-01;39
10718;11338;HH-;42;9;04a;S-01;31
10718;11408;K-;61;8;04a;S-01;10
10718;11413;K-;60;7;04a;S-01;10
10718;11421;D-;71;8;04a;S-01;971
10718;11700;GL-;62;9;04a;S-01;10
10718;11809;D-;59;6;04a;S-01;17
10718;11916;D-;41;8;04a;S-01;60
10718;12708;LIP-;73;10;04a;S-01;973
10718;12817;D-;61;8;04a;S-01;7
10718;12820;ME-;73;10;04a;S-01;973
10718;13036;DU-;71;18;04a;S-01;9
10718;13345;GL-;61;8;04a;S-01;9
10718;13425;K-;62;9;04a;S-01;17
10718;13751;K-;61;8;04a;S-01;7
10718;14214;K-;64;11;04a;S-01;16
10718;14401;BM-;59;6;04a;S-01;7
10718;14403;GT-;50;17;04a;S-01;39
10718;14549;K-;39;6;04a;S-01;60
10718;14631;GM-;59;6;04a;S-01;17
10718;15116;NE-;63;10;04a;S-01;9
10718;15416;K-;59;6;04a;S-01;29
10718;20155;K-;61;8;04a;S-01;26
10718;20202;K-;60;7;04a;S-01;7
10718;20414;K-;59;6;04a;S-01;16
10718;20716;W-;51;18;04a;S-01;60
10718;20938;MG-;61;8;04a;S-01;7
10718;21242;SU-;59;6;04a;S-01;10
10718;21357;M-;63;10;04a;S-01;9
10718;21633;M-;62;9;04a;S-01;7
10718;21746;K-;75;12;04a;S-01;971
10718;23311;BOH-;76;13;04a;S-01;981
10718;23527;DU-;72;9;04a;S-01;973
10718;23633;K-;44;11;04a;S-01;60
10718;23747;K-;63;10;04a;S-01;10
10718;23950;VIE-;64;11;04a;S-01;7
10718;24131;K-;74;11;04a;S-01;971
10718;24217;WES-;70;17;04a;S-01;9
10718;24339;K-;36;0;04a;K-04;7019
10718;25148;GM-;86;23;04a;S-01;971
10718;25439;GM-;60;7;04a;S-01;10
10718;30444;K-;39;6;04a;S-01;61
10718;30829;WI-;61;8;04a;S-01;16
10718;31203;HN-;59;6;04a;K-04;7020
10718;31407;E-;63;10;04a;S-01;10
10718;32104;GL-;41;8;04a;S-01;39
10718;32134;K-;75;12;04a;S-01;981
10718;33420;DT-;44;11;04a;S-01;61
10718;33610;AC-;63;10;04a;S-01;16
10718;33750;EU-;63;10;04a;S-01;16
10718;34034;LEV-;61;8;04a;S-01;16
10718;34328;K-;55;22;04a;S-01;61
10718;35105;SU-;64;11;04a;S-01;9
10718;35236;BM-;62;9;04a;S-01;7
10718;35525;LEV-;51;18;04a;S-01;60
10718;35753;K-;40;7;04a;S-01;36
10718;40019;;82;19;05a;S-01;971
10718;40946;SU-;43;10;04a;S-01;60
10718;41506;NR-;60;7;04a;S-01;10
10718;41618;DN-;68;15;04a;S-01;16
10718;41658;K-;59;6;04a;S-01;7
10718;42335;BM-;62;9;04a;S-01;16
10718;42637;UN-;63;10;04a;S-01;7
10718;43009;SU-;64;11;04a;S-01;9
10718;43658;SIM-;69;6;04a;S-01;981
10718;44038;K-;62;9;04a;S-01;17
10718;44102;;88;25;04a;S-01;971
10718;44246;GM-;59;6;04a;S-01;7
10718;44624;MOS-;61;8;04a;S-01;17
10718;45651;K-;60;7;04a;S-01;14
10718;45712;VIE-;61;8;04a;S-01;7
10718;50054;BN-;86;13;04a;S-01;34
10718;50058;EU-;59;6;04a;S-01;17
10718;50235;BM-;79;6;04a;S-01;34
10718;50408;ME-;65;12;04a;S-01;26
10718;50748;DN-;61;8;04a;S-01;16
10718;50826;OP-;40;7;04a;S-01;60
10718;51835;K-;59;6;04a;S-01;17
10718;52213;LEV-;61;8;04a;S-01;17
10718;52410;K-;59;6;04a;S-01;29
10718;52535;BOR-;73;10;04a;S-01;971
10718;52827;K-;60;7;04a;K-04;7020
10718;53158;WI-;59;6;04a;S-01;9
10718;54023;K-;70;17;04a;S-01;9
10718;54239;K-;50;17;04a;S-01;61
10718;54435;GL-;61;8;04a;S-01;29
10718;55134;K-;74;21;04a;S-01;16
10718;55152;-1;79;16;04a;S-01;973
10718;55252;NE-;75;12;04a;S-01;971
10718;55411;BM-;63;10;04a;K-04;7019
10718;60205;K-;59;6;04a;S-01;9
10718;60243;K-;67;14;04a;S-01;10
10718;60451;LEV-;70;17;04a;S-01;9
10718;60452;K-;63;10;04a;S-01;9
10718;60850;MZ-;62;9;04a;S-01;14
10718;61343;D-;79;16;04a;S-01;971
10718;62333;K-;59;6;04a;S-01;9
10718;63426;K-;60;7;04a;S-01;9
10718;63532;WI-;62;9;04a;S-01;10
10718;63643;H-;60;7;04a;S-01;17
10718;64052;BM-;73;10;04a;S-01;971
10718;64254;K-;39;6;04a;S-01;61
10718;64443;K-;45;12;04a;S-01;61
10718;64550;E-;43;10;05a;S-01;60
10718;65319;K-;40;7;04a;S-01;32
10718;65404;KA-;63;10;04a;S-01;16
10718;65859;K-;67;14;04a;S-01;7
10718;70220;HA-;62;9;04a;S-01;9
10718;70642;K-;62;9;04a;S-01;16
10718;71215;K-;71;8;04a;S-01;981
10718;71456;GD-;93;30;04a;S-01;971
10718;71502;BN-;59;6;04a;S-01;16
10718;71507;GD-;88;25;04a;S-01;981
10718;71915;K-;79;16;04a;S-01;971
10718;72021;AC-;63;10;04a;S-01;16
10718;72328;K-;43;10;04a;S-01;61
10718;72737;K-;59;6;04a;S-01;7
10718;73456;NE-;71;8;04a;S-01;971
10718;74448;K-;40;7;04a;S-01;60
10718;74641;KLE-;59;6;04a;S-01;9
10718;74700;ARN-;43;10;04a;S-01;60
10718;74718;KLE-;61;8;04a;S-01;10
10718;75319;K-;69;6;04a;S-01;971
10718;75402;K-;61;8;04a;S-01;26
10718;75521;K-;62;9;04a;S-01;17
10718;75850;K-;45;12;04a;S-01;36
10718;75948;M-;82;29;04a;S-01;16
10718;80241;AN-;40;7;04a;S-01;60
10718;80901;K-;44;11;04a;S-01;61
10718;81059;FCC-;73;10;04a;S-01;973
10718;81253;K-;76;23;04a;S-01;9
10718;81503;EU-;62;9;04a;S-01;7
10718;81529;GF-;39;6;04a;S-01;60
10718;81648;K-;61;8;04a;S-01;9
10718;81913;K-;64;11;04a;S-01;14
10718;82248;M-;42;9;04a;S-01;60
10718;82803;OE-;59;6;04a;S-01;7
10718;82831;K-;62;9;04a;S-01;16
10718;83551;K-;62;9;04a;S-01;16
10718;83608;K-;40;7;04a;S-01;60
10718;83646;GL-;43;10;04a;S-01;39
10718;83746;JÜL-;39;6;04a;S-01;32
10718;84401;BM-;64;11;04a;S-01;9
10718;84855;LEV-;63;10;04a;K-04;7020
10718;84921;K-;48;15;04a;S-01;61
10718;84926;GL-;63;10;04a;S-01;7
10718;85039;KR-;62;9;04a;S-01;9
10718;85443;K-;52;19;04a;S-01;60
10718;85450;BM-;39;6;04a;S-01;60
10718;90134;M-;42;9;04a;S-01;60
10718;90308;GM-;41;8;04a;S-01;60
10718;90554;GÜ-;59;6;04a;S-01;9
10718;90801;MÜR-;63;10;04a;S-01;7
10718;91033;K-;44;11;04a;S-01;39
10718;91044;COE-;74;11;04a;S-01;973
10718;91119;HBN-;64;11;04a;K-04;7019
10718;91244;LEV-;59;6;04a;K-04;7019
10718;91248;K-;60;7;04a;K-04;7019
10718;91257;K-;61;8;04a;S-01;17
10718;91623;K-;62;9;04a;S-01;9
10718;91809;K-;69;6;04a;S-01;971
10718;91942;K-;39;6;04a;S-01;39
10718;92022;K-;59;6;04a;K-04;7019
10718;92217;OE-;65;12;04a;S-01;7
10718;92522;LL-;48;15;04a;S-01;60
10718;92721;K-;43;10;04a;S-01;39
10718;92826;MO-;66;13;04a;S-01;9
10718;92858;GL-;39;6;04a;S-01;60
10718;92941;K-;43;10;04a;S-01;61
10718;92956;NE-;61;8;04a;S-01;9
10718;92958;WT-;44;11;04a;S-01;61
10718;93355;K-;84;11;04a;S-01;34
10718;93514;K-;59;6;04a;K-04;7019
10718;93838;HU-;60;7;04a;S-01;10
10718;93941;BM-;60;7;04a;K-04;7019
10718;94002;KK-;61;8;04a;S-01;17
10718;94227;K-;44;11;04a;S-01;60
10718;94518;LIP-;44;11;04a;S-01;60
10718;94659;VIE-;64;11;04a;S-01;9
10718;94723;K-;61;8;04a;S-01;16
10718;94952;FR-;42;9;04a;S-01;61
10718;95010;K-;52;19;04a;S-01;61
10718;95150;LEV-;60;7;04a;K-04;7019
10718;95343;B-;68;15;04a;S-01;7
10718;95615;K-;81;8;04a;S-01;34
10718;95900;K-;60;7;04a;S-01;16
10718;100110;K-;54;21;04a;S-01;61
10718;100349;SLE-;60;7;04a;K-04;7019
10718;100458;SU-;39;6;04a;S-01;61
10718;100530;K-;59;6;04a;S-01;16
10718;100553;GL-;43;10;04a;S-01;39
10718;100624;BN-;39;6;04a;S-01;61
10718;100632;BM-;59;6;04a;S-01;16
10718;100643;K-;76;23;04a;K-04;7019
10718;101249;K-;59;6;04a;K-04;7019
10718;101342;K-;40;7;04a;S-01;61
10718;101345;K-;41;8;04a;S-01;31
10718;101419;LEV-;59;6;04a;K-04;7019
10718;101511;K-;60;7;04a;K-04;7020
10718;101543;EV-;59;6;04a;K-04;7019
10718;101611;VIE-;59;6;04a;S-01;10
10718;101728;K-;60;7;04a;S-01;16
10718;102232;K-;61;8;04a;S-01;7
10718;102235;M-;63;10;04a;S-01;26
10718;102239;GL-;39;6;04a;S-01;31
10718;102240;K-;63;10;04a;S-01;9
10718;102244;K-;49;16;04a;S-01;60
10718;102252;K-;40;7;04a;S-01;61
10718;102347;NE-;70;7;04a;S-01;973
10718;102439;GL-;39;6;04a;S-01;60
10718;102526;AC-;59;6;04a;S-01;9
10718;102542;S-;41;8;04a;S-01;31
10718;102551;GL-;53;20;04a;S-01;39
10718;102801;GM-;45;12;04a;S-01;39
10718;102821;ST-;42;9;04a;S-01;31
10718;102827;K-;61;8;04a;S-01;9
10718;102943;SF-;61;8;04a;S-01;10
10718;103217;GL-;70;17;04a;K-04;7019
10718;103301;NE-;59;6;04a;S-01;10
