vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10918;1;D-;63;10;04a;S-01;7
10918;9;EU-;72;9;04a;S-01;981
10918;109;RS-;59;6;04a;S-01;7
10918;120;GL-;44;11;04a;S-01;39
10918;200;NT-;50;17;04a;S-01;62
10918;400;SG-;74;11;04a;S-01;982
10918;437;DO-;43;10;04a;S-01;31
10918;607;K-;49;16;04a;S-01;36
10918;940;GL-;51;18;04a;S-01;63
10918;1133;KLE-;42;9;04a;S-01;64
10918;1225;M-;65;12;04a;S-01;7
10918;1247;LEV-;45;12;04a;S-01;62
10918;1405;D-;85;22;04a;S-01;971
10918;1433;W-;44;11;04a;S-01;62
10918;1517;SU-;69;6;04a;S-01;972
10918;1613;WES-;69;6;04a;S-01;982
10918;1614;RE-;75;12;04a;S-01;972
10918;1636;CO-;76;13;04a;S-01;972
10918;1638;M-;62;9;04a;S-01;17
10918;1956;WF-;62;9;04a;S-01;7
10918;2008;GL-;53;20;04a;S-01;62
10918;2054;K-;64;11;04a;S-01;17
10918;2309;K-;39;6;04a;S-01;39
10918;2640;EP-;51;18;04a;S-01;64
10918;2830;;60;7;04a;S-01;26
10918;2857;SI-;70;7;04a;S-01;971
10918;2958;K-;42;9;04a;S-01;39
10918;3153;WI-;73;10;04a;S-01;972
10918;3444;M-;40;7;04a;S-01;62
10918;3512;;108;44;04a;S-01;972
10918;3523;;77;14;04a;S-01;982
10918;3642;ME-;59;6;04a;S-01;14
10918;3713;GÖ-;41;8;04a;S-01;64
10918;3830;BM-;63;10;04a;S-01;17
10918;4332;LEV-;63;10;04a;S-01;17
10918;4403;BN-;45;12;04a;S-01;62
10918;4408;MS-;62;9;04a;S-01;7
10918;4555;MK-;41;8;04a;S-01;63
10918;4727;KG-;53;20;04a;S-01;64
10918;4823;GL-;41;8;04a;S-01;39
10918;5248;GV-;73;10;04a;S-01;972
10918;5248;GV-;73;10;04a;S-01;971
10918;5342;WO-;39;6;04a;S-01;39
10918;5942;K-;53;20;04a;S-01;39
10918;5948;BN-;65;12;04a;S-01;7
10918;10234;M-;46;13;04a;S-01;39
10918;10400;BN-;77;14;04a;S-01;971
10918;10502;D-;72;9;04a;S-01;982
10918;10655;GEL-;59;6;04a;S-01;7
10918;10819;K-;62;9;04a;S-01;7
