vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10218;303;HH-;69;6;04a;S-01;971
10218;319;SG-;76;13;04a;S-01;972
10218;419;K-;42;9;04a;S-01;62
10218;548;F-;59;6;04a;S-01;17
10218;617;W-;69;6;04a;S-01;972
10218;900;BOH-;71;8;04a;S-01;971
10218;903;BM-;60;7;04a;S-01;17
10218;949;SU-;40;7;04a;S-01;62
10218;1205;SU-;69;6;04a;S-01;972
10218;1306;E-;70;7;04a;S-01;983
10218;1334;SU-;43;10;04a;S-01;62
10218;1527;LEV-;40;7;04a;S-01;62
10218;1547;K-;78;25;04a;K-04;7018
10218;1605;K-;65;12;04a;S-01;9
10218;1651;NE-;60;7;04a;S-01;17
10218;1705;K-;41;8;04a;S-01;62
10218;1948;BM-;60;7;04a;S-01;16
10218;2148;K-;65;12;04a;S-01;9
10218;2319;SU-;48;15;04a;S-01;60
10218;2407;K-;92;39;04a;K-04;7019
10218;2615;ZW-;40;7;04a;S-01;62
10218;2733;K-;103;39;04a;S-01;972
10218;2743;K-;61;8;04a;K-04;7018
10218;2806;GL-;50;17;04a;S-01;62
10218;3129;K-;59;6;04a;S-01;17
10218;3518;E-;70;7;04a;S-01;981
10218;3814;HF-;70;7;04a;S-01;972
10218;3908;K-;44;11;04a;S-01;62
10218;4046;EN-;69;6;06a;S-01;972
10218;4314;HF-;76;13;04a;S-01;971
10218;4328;HF-;78;15;04a;S-01;981
10218;4434;K-;39;6;04a;S-01;62
10218;5104;ME-;87;24;04a;S-01;972
10218;5155;MG-;62;9;04a;S-01;9
10218;5450;JNL-;82;19;04a;S-01;972
10218;5503;JNL-;71;8;04a;S-01;982
10218;5615;BN-;63;10;04a;S-01;16
10218;5728;HH-;86;23;04a;S-01;972
10218;5741;HH-;72;9;04a;S-01;981
10218;10014;M-;62;9;04a;S-01;17
10218;10221;-1;73;10;04a;S-01;981
10218;10255;AC-;44;11;04a;S-01;62
10218;10516;EU-;44;11;04a;S-01;60
10218;10918;K-;41;8;04a;S-01;64
10218;11042;K-;57;24;04a;S-01;60
10218;11337;D-;59;6;04a;S-01;25
10218;12617;K-;60;7;04a;S-01;17
10218;12828;EU-;85;22;04a;S-01;972
10218;13140;HH-;59;6;04a;S-01;17
10218;13342;K-;65;12;04a;S-01;10
10218;14011;K-;67;14;04a;S-01;9
10218;15102;HH-;89;26;04a;S-01;972
10218;15105;AC-;70;7;04a;S-01;982
10218;15609;PO-;97;34;04a;S-01;972
10218;15621;PO-;82;19;04a;S-01;982
10218;15859;KV-;72;9;04a;S-01;981
10218;20525;M-;94;31;04a;S-01;972
10218;20537;M-;77;14;04a;S-01;982
10218;20537;M-;77;14;04a;S-01;981
10218;21113;K-;59;6;04a;S-01;17
10218;21204;K-;68;15;04a;S-01;6146
10218;22219;K-;63;10;04a;S-01;10
10218;22706;NE-;65;12;04a;S-01;26
10218;23726;K-;63;10;04a;S-01;6146
10218;23815;K-;46;13;04a;S-01;62
10218;24319;HH-;70;7;04a;S-01;972
10218;30208;E-;42;9;04a;S-01;62
10218;31117;K-;45;12;04a;S-01;62
10218;32642;NK-;91;28;04a;S-01;972
10218;32655;NK-;69;6;04a;S-01;982
10218;32747;K-;47;14;04a;S-01;62
10218;33502;K-;43;10;04a;S-01;62
10218;34111;BM-;69;6;04a;S-01;972
10218;40044;BN-;42;9;04a;S-01;62
10218;40207;C-;113;49;04a;S-01;972
10218;40821;K-;59;6;04a;S-01;6146
10218;42059;K-;71;18;04a;S-01;16
10218;43949;ME-;60;7;04a;S-01;10
10218;44509;DH-;72;9;04a;S-01;972
10218;44809;BM-;62;9;04a;S-01;17
10218;45957;K-;63;10;04a;S-01;17
10218;50144;K-;80;17;04a;S-01;973
10218;51231;K-;66;13;04a;S-01;17
10218;53228;WIL-;80;17;04a;S-01;972
10218;53243;WIL-;70;7;04a;S-01;982
10218;53246;K-;40;7;04a;S-01;60
10218;53827;BN-;69;6;04a;S-01;972
10218;55636;W-;39;6;04a;S-01;60
10218;60228;GD-;117;13;04a;S-01;99
10218;60345;Y-;75;12;04a;S-01;971
10218;60444;RS-;69;6;04a;S-01;981
10218;60514;K-;50;17;04a;S-01;61
10218;60851;SU-;52;19;04a;S-01;61
10218;61153;ZE-;136;31;04a;S-01;99
10218;61245;K-;65;12;04a;S-01;16
10218;61456;PTU-;60;7;04a;S-01;6146
10218;61627;F-;42;9;04a;S-01;62
10218;61848;K-;79;26;04a;S-01;17
10218;62121;K-;61;8;04a;S-01;25
10218;62517;SU-;59;6;04a;S-01;25
10218;62637;M-;72;19;04a;K-04;7019
10218;62700;GL-;61;8;04a;K-04;7019
10218;62913;TK-;40;7;04a;S-01;62
10218;63448;W-;44;11;04a;S-01;62
10218;63536;GL-;110;6;04a;S-01;99
10218;63538;F-;121;17;04a;S-01;99
10218;64133;OF-;117;13;04a;S-01;99
10218;64226;SG-;39;6;04a;S-01;60
10218;64353;K-;43;10;04a;S-01;62
10218;64409;K-;39;6;04a;S-01;62
10218;64837;GL-;60;7;04a;K-04;7019
10218;64948;GL-;41;8;04a;S-01;60
10218;65513;K-;39;6;04a;S-01;62
10218;65554;-1;72;9;04a;S-01;983
10218;65753;K-;65;12;04a;K-04;7019
10218;65817;NE-;63;10;04a;S-01;9
10218;65831;GL-;63;10;04a;S-01;16
10218;65839;Y-;114;10;04a;S-01;99
10218;70226;K-;44;11;04a;S-01;62
10218;70425;NR-;110;6;04a;S-01;99
10218;70606;K-;40;7;04a;S-01;62
10218;70725;SP-;146;41;04a;S-01;99
10218;71504;K-;40;7;04a;S-01;31
10218;71807;BM-;46;13;04a;S-01;60
10218;71809;LEV-;60;7;04a;K-04;7019
10218;72222;EU-;43;10;04a;S-01;62
10218;72358;;119;15;04a;S-01;99
10218;72800;D-;63;10;04a;S-01;25
10218;72834;AC-;60;7;04a;S-01;17
10218;73145;BM-;39;6;04a;S-02;361
10218;73314;K-;60;27;06a;S-01;61
10218;73502;K-;40;7;04a;S-02;537
10218;73618;F-;43;10;04a;S-02;537
10218;73654;SU-;125;21;04a;S-01;99
10218;73716;BM-;70;17;04a;S-01;17
10218;73819;K-;52;19;04a;S-01;60
10218;73840;K-;55;22;04a;S-01;61
10218;73957;LE-;41;8;04a;S-01;33
10218;74538;OF-;41;8;04a;S-02;537
10218;74542;K-;39;6;04a;S-02;537
10218;74740;GL-;39;6;04a;S-02;537
10218;75245;K-;59;6;04a;K-04;7018
10218;75646;K-;39;6;04a;S-02;604
10218;75743;WI-;42;9;04a;S-01;63
10218;75853;K-;69;16;04a;S-02;693
10218;75945;K-;39;6;04a;S-02;604
10218;75945;BIT-;133;29;04a;S-01;99
10218;80100;BM-;41;8;04a;S-01;62
10218;80218;K-;60;7;04a;K-04;7019
10218;80219;MTK-;112;8;04a;S-01;99
10218;80244;AC-;60;7;04a;S-02;693
10218;80254;K-;40;7;04a;S-01;62
10218;80259;AC-;39;6;04a;S-01;62
