vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10618;38;GL-;40;7;04a;S-01;31
10618;113;SG-;46;13;04a;S-01;62
10618;458;GV-;62;9;04a;S-01;16
10618;920;K-;66;13;04a;S-01;16
10618;920;D-;59;6;04a;S-01;10
10618;1032;SI-;43;10;04a;S-01;62
10618;1100;K-;53;20;04a;S-01;6184
10618;1112;GL-;60;7;04a;K-04;7018
10618;1200;GL-;40;7;04a;S-01;6184
10618;1258;DON-;40;7;04a;S-01;60
10618;1538;K-;62;9;04a;K-04;7018
10618;1711;LEV-;79;16;04a;S-01;982
10618;1747;D-;81;18;04a;S-01;971
10618;1950;AC-;69;16;04a;S-01;7
10618;2049;LEV-;64;11;04a;K-04;7018
10618;2714;BM-;50;17;06a;S-01;6184
10618;3719;K-;44;0;04a;K-04;7018
10618;3746;D-;71;8;04a;S-01;971
10618;4454;K-;55;22;04a;S-01;60
10618;4513;RB-;46;13;04a;S-01;62
10618;4550;EN-;71;8;04a;S-01;982
10618;4818;UN-;57;24;04a;S-01;61
10618;5350;K-;65;12;04a;S-01;29
10618;5450;;70;17;04a;S-01;9
10618;5914;WZ-;44;11;04a;S-01;6184
10618;10232;BM-;46;13;04a;S-01;39
10618;10241;AK-;43;10;04a;S-01;61
10618;10521;K-;39;6;04a;S-01;62
10618;10602;SI-;59;6;04a;S-01;7
10618;10623;E-;60;27;04a;S-01;6184
10618;11120;SG-;69;6;04a;S-01;971
10618;11148;AZ-;42;9;04a;S-01;60
10618;11229;ME-;63;10;04a;S-01;16
10618;11451;GL-;61;8;04a;S-01;17
10618;11904;JK-;40;7;04a;S-01;60
10618;12115;SI-;47;14;04a;S-01;39
10618;12153;KLE-;42;9;04a;S-01;62
10618;12237;K-;39;6;04a;S-01;60
10618;12246;-1;80;17;04a;S-01;981
10618;12246;-1;80;17;04a;S-01;982
10618;12719;NE-;48;15;04a;S-01;62
10618;12845;OE-;59;6;04a;S-01;10
10618;13230;K-;42;9;04a;S-01;6184
10618;14115;BM-;60;7;04a;S-01;16
10618;14352;AK-;39;6;04a;S-01;62
10618;14929;K-;64;31;04a;S-01;6184
10618;15738;K-;59;6;04a;S-01;10
10618;20002;SCI-;71;8;04a;S-01;981
10618;20303;K-;62;9;04a;S-01;9
10618;20542;DN-;70;7;04a;S-01;982
10618;20627;DN-;89;26;04a;S-01;973
10618;20637;HH-;39;6;04a;S-01;60
10618;21015;B-;59;6;04a;S-01;7
10618;21615;V-;60;7;04a;S-01;10
10618;21725;V-;62;9;04a;S-01;9
10618;22045;WZ-;60;7;04a;S-01;9
10618;22212;K-;59;6;04a;S-01;10
10618;22235;GL-;41;8;04a;S-01;62
10618;22504;-1;79;16;04a;S-01;982
10618;22906;K-;52;19;04a;S-01;61
10618;23002;MO-;59;6;04a;S-01;10
10618;23009;EU-;70;7;04a;S-01;982
10618;23105;SI-;63;10;04a;S-01;16
10618;23133;K-;41;8;04a;S-01;62
10618;23239;MO-;76;13;04a;S-01;982
10618;23850;K-;42;9;04a;S-01;62
10618;23903;K-;59;6;04a;S-01;9
10618;24316;GTH-;63;10;04a;S-01;10
10618;24430;RV-;65;12;04a;S-01;7
10618;24745;FR-;71;8;04a;S-01;982
10618;25522;SU-;42;9;04a;S-01;62
10618;31150;HB-;62;9;04a;S-01;7
10618;31320;GL-;61;28;06b;S-01;6184
10618;31851;K-;62;9;04a;S-01;10
10618;32602;LEV-;70;7;04a;S-01;971
10618;33157;;82;19;04a;S-01;981
10618;33313;K-;43;10;04a;S-01;60
10618;34819;K-;59;6;04a;S-01;17
10618;35031;DN-;78;15;04a;S-01;982
10618;35211;K-;48;15;04a;S-01;62
10618;35746;K-;71;18;04a;S-01;29
10618;35802;K-;39;6;04a;S-01;6184
10618;35947;JAB-;59;6;04a;S-01;17
10618;40058;SU-;50;17;04a;S-01;6184
10618;40904;ME-;67;14;04a;S-01;7
10618;40948;BM-;65;12;04a;S-01;17
10618;41511;BN-;60;7;04a;S-01;10
10618;41708;M-;67;14;04a;K-04;7018
10618;42139;K-;41;8;04a;S-01;62
10618;42814;BN-;75;12;04a;S-01;982
10618;43418;LA-;78;15;04a;S-01;971
10618;43518;HD-;79;16;04a;S-01;973
10618;44512;GL-;47;14;04a;S-01;6184
10618;44940;GL-;39;6;04a;S-01;6184
10618;45134;GL-;44;11;04a;S-01;6184
10618;45215;K-;60;7;04a;S-01;7
10618;45429;VIE-;39;6;06a;S-01;31
10618;50637;K-;59;6;04a;S-01;7
10618;50639;GP-;60;7;04a;S-01;7
10618;50902;K-;60;7;04a;K-04;7018
10618;51253;K-;47;14;04a;S-01;62
10618;51615;GM-;69;16;04a;S-01;17
10618;51644;K-;44;11;04a;S-01;62
10618;51926;GM-;41;8;04a;S-01;31
10618;52355;K-;44;11;04a;S-01;62
10618;53637;KR-;68;15;04a;S-01;7
10618;54541;BM-;68;15;04a;S-01;9
10618;54649;GL-;55;22;04a;S-01;6184
10618;54840;K-;51;18;04a;S-01;6184
10618;55449;GL-;43;10;04a;S-01;6184
10618;55732;D-;47;14;04a;S-01;6184
10618;60038;GE-;60;7;04a;S-01;26
10618;60331;H-;69;6;04a;S-01;971
10618;61138;M-;41;8;04a;S-01;62
10618;62512;BOH-;59;6;04a;K-04;7019
10618;62847;K-;39;6;04a;S-01;60
10618;63254;BM-;56;23;04a;S-01;6184
10618;63254;K-;42;9;04a;S-01;6183
10618;63843;K-;44;11;04a;S-01;39
10618;64026;BM-;52;19;04a;S-01;6184
10618;64249;SU-;51;18;04a;S-01;62
10618;64348;GL-;39;6;04a;S-01;6183
10618;64455;K-;41;8;04a;S-01;6183
10618;64555;GL-;40;7;04a;S-01;6184
10618;64742;GL-;39;6;04a;S-01;6184
10618;65225;LEV-;40;7;04a;S-01;6184
10618;65343;FB-;41;8;05a;S-01;39
10618;65343;BM-;47;14;04a;S-01;62
10618;65648;K-;61;8;04a;S-01;26
10618;70005;WOB-;40;7;04a;S-01;6184
10618;70046;BM-;63;10;04a;S-01;7
10618;70247;SU-;60;7;04a;S-01;16
10618;70555;GL-;48;15;04a;S-01;6183
10618;70622;K-;39;6;04a;S-01;60
10618;70628;K-;50;17;04a;S-01;6183
10618;71242;DU-;42;9;04a;S-01;39
10618;71251;GL-;62;9;04a;K-04;7019
10618;71305;K-;65;12;04a;S-01;7
10618;71601;K-;45;12;04a;S-01;62
10618;71742;EU-;50;17;04a;S-01;62
10618;71743;K-;47;14;04a;S-01;6183
10618;71757;K-;65;12;04a;S-02;1305
10618;71820;GL-;60;7;04a;K-04;7019
10618;71925;K-;60;7;04a;S-02;1305
10618;71935;GL-;47;14;04a;S-01;6184
10618;72012;K-;41;8;04a;S-01;60
10618;72039;K-;51;18;04a;S-01;36
10618;72058;K-;63;10;04a;S-01;16
10618;72117;BM-;64;11;04a;S-01;9
10618;72207;K-;61;8;04a;K-04;7018
10618;72244;GM-;60;7;04a;S-01;7
10618;72251;K-;42;9;04a;S-01;60
10618;72605;D-;43;10;04a;S-01;60
10618;72610;K-;48;15;04a;S-02;721
10618;72624;GL-;39;6;06c;S-01;6184
10618;72650;H-;60;7;04a;S-02;1296
10618;72701;HZ-;40;7;04a;S-01;62
10618;72806;K-;43;10;04a;S-01;6184
10618;73116;K-;69;16;04a;S-01;7
10618;73124;K-;46;13;04a;S-02;721
10618;73321;GL-;39;6;04a;S-01;6184
10618;73554;K-;43;10;04a;S-01;6183
10618;73715;K-;45;12;04a;S-01;36
10618;73759;K-;66;13;04a;S-02;1296
10618;73811;K-;50;17;04a;S-01;6183
10618;73947;K-;59;6;04a;S-02;1296
10618;74001;K-;65;12;04a;S-01;10
10618;74006;EU-;66;13;04a;S-02;1305
10618;74154;K-;65;12;04a;S-02;1305
10618;74252;AW-;40;7;06b;S-02;721
10618;74313;K-;70;17;04a;S-02;1296
10618;74323;K-;61;8;04a;S-02;1296
10618;74332;EU-;60;7;04a;S-02;1305
10618;74401;BN-;68;15;04a;S-02;1305
10618;74504;K-;43;10;04a;S-01;62
10618;74706;K-;59;6;04a;S-02;1305
10618;74710;KR-;61;8;04a;S-01;10
10618;74724;B-;62;9;04a;S-02;1305
10618;74747;BM-;47;14;04a;S-01;36
10618;74853;K-;40;7;04a;S-02;721
10618;75009;K-;39;6;04a;S-01;63
10618;75123;M-;75;22;04a;S-02;1305
10618;75151;K-;52;19;04a;S-01;6184
10618;75244;K-;42;9;04a;S-02;721
10618;75413;K-;60;7;04a;S-01;7
10618;75442;K-;62;9;04a;S-02;1305
10618;75532;K-;46;13;04a;S-02;721
10618;75723;K-;64;31;04a;S-02;721
10618;75739;BI-;45;12;04a;S-01;60
10618;75850;BN-;62;9;04a;S-02;1305
10618;75948;K-;65;12;04a;S-02;1296
10618;75956;K-;41;8;04a;S-01;6183
10618;80139;K-;45;12;04a;S-01;62
10618;80221;K-;62;9;04a;K-04;7018
10618;80225;GL-;71;18;04a;K-04;7019
10618;80335;GL-;59;6;04a;S-02;1296
10618;80636;K-;59;6;04a;S-02;1296
10618;80700;K-;39;6;04a;S-01;62
10618;80709;K-;62;9;04a;S-02;1305
10618;80856;K-;50;17;04a;S-01;62
10618;81010;K-;48;15;04a;S-01;61
10618;81056;K-;48;15;04a;S-01;6184
10618;81059;K-;45;12;04a;S-01;62
10618;81222;BM-;51;18;04a;S-01;60
10618;81230;K-;44;11;04a;S-01;62
10618;81607;LEV-;60;7;04a;S-02;1296
10618;81627;K-;40;7;06c;S-01;6183
10618;81649;K-;60;7;04a;S-02;1305
10618;81730;K-;48;15;04a;S-01;61
10618;81755;K-;39;6;04a;S-01;6183
10618;81806;K-;45;12;04a;S-01;62
10618;81816;M-;63;10;04a;S-02;1296
10618;81818;K-;61;8;04a;S-02;1296
10618;81848;B-;73;20;04a;K-04;7019
10618;81902;SU-;63;10;04a;S-02;1305
10618;81950;LEV-;39;6;04a;S-01;62
10618;82156;K-;72;19;04a;S-02;1296
10618;82250;SI-;64;11;04a;S-01;7
10618;82411;K-;39;6;04a;S-01;6184
