Sto.-nr.;erl.Geschw. PKW;erl. Geschw. LKW;Standort1;Standort2;Standort3;
64;30;30;64   Mülheim                  ;Auenweg 173                   ;in Fahrtrichtung Deutz             ;   
97;60;60;97   BAB 1, km 407,075        ;Rheinbrücke                   ;in Fahrtrichtung Dortmund          ;   
98;60;60;98   BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   
99;0;0;99   BAB 3, km 0,80           ;AS Königsforst / AK Köln-Ost  ;in Fahrtrichtung Oberhausen        ;   
971;60;60;971  BAB 1, km 407,075        ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   
972;60;60;972  BAB 1, km 407,075        ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   
973;60;60;973  BAB 1, km 407,075        ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   
981;60;60;981  BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   
982;60;60;982  BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   
983;60;60;983  BAB 1, km 406,750        ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   
5113;50;50;5113 Zündorf                  ;Wahner Straße, Höhe Reithalle ;in Fahrtrichtung Wahn              ;   
5390;80;80;5390 Zündorf                  ;Wahner Straße, Höhe Reithalle ;in Fahrtrichtung Libur             ;   
5399;30;30;5399 Dünnwald                 ;Leuchter Straße 10-30         ;in Fahrtrichtung Berliner Str.     ;   
5429;30;30;5429 Wahn                     ;Nachtigallenstraße 19         ;in Fahrtrichtung Albin-Köbisstraße ;   
5430;30;30;5430 Wahn                     ;Nachtigallenstraße 19         ;in Fahrtrichtung Frankfurter Straße;   
5724;30;30;5724 Dünnwald                 ;Leuchter Straße 10-30         ;in Fahrtr. Dünnwalder Mauspfad     ;   
5878;50;50;5878 Humbold/Gremberg         ;Gremberger Straße ggü. 16-22  ;in Fahrtrichtung An der Pulvermühle;   
5881;50;50;5881 Humbold/Gremberg         ;Gremberger Straße ggü. 16-22  ;in Fahrtrichtung Pfarrer-Mollstraße;   
6095;50;50;6095 Dellbrück                ;Bergisch-Gladbacher Str. 1186 ;in Fahrtrichtung Stadteinwärts     ;   
