vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
10318;304;WÜ-;76;13;04a;S-01;972
10318;352;PB-;61;8;04a;S-01;7
10318;446;D-;67;14;04a;S-01;7
10318;650;SLS-;41;8;04a;S-01;62
10318;801;MO-;60;7;04a;S-01;7
10318;1025;HH-;49;16;04a;S-01;62
10318;1028;BN-;40;7;04a;S-01;36
10318;1431;;66;13;04a;S-01;9
10318;1759;SU-;82;19;04a;S-01;972
10318;1812;SU-;73;10;04a;S-01;982
10318;1934;GL-;44;11;04a;S-01;62
10318;2112;;82;19;04a;S-01;972
10318;2126;;69;6;04a;S-01;982
10318;2222;B-;59;6;04a;S-01;7
10318;3104;K-;50;17;04a;S-01;39
10318;3241;FÜ-;61;8;04a;S-01;17
10318;3313;SU-;60;7;04a;S-01;9
10318;3452;K-;46;13;04a;S-01;60
10318;3626;SU-;63;10;04a;S-01;9
10318;5541;K-;45;12;04a;S-01;6154
10318;5852;L-;60;7;04a;S-01;9
10318;10534;WML-;70;7;04a;S-01;981
10318;10713;GL-;42;9;04a;S-01;62
10318;11040;-67;68;15;04a;S-01;7
10318;11120;SU-;39;6;04a;S-01;62
10318;11252;GM-;45;12;04a;S-01;62
10318;12232;K-;49;16;04a;S-01;62
10318;13631;GE-;43;10;04a;S-01;62
10318;14119;K-;64;11;04a;S-01;16
10318;14435;W-;75;12;04a;S-01;971
10318;14707;D-;69;16;04a;S-01;7
10318;15202;HH-;63;10;04a;S-01;9
10318;15751;K-;45;12;04a;S-01;39
10318;15756;BN-;87;14;04a;S-01;34
10318;20023;KK-;51;18;04a;S-01;62
10318;20934;WW-;47;14;04a;S-01;62
10318;20941;K-;40;7;04a;S-01;62
10318;22223;K-;49;16;04a;S-01;62
10318;22942;BM-;50;17;04a;S-01;62
10318;23040;ME-;60;7;04a;S-01;7
10318;23146;HH-;60;7;04a;S-01;17
10318;23858;W-;41;8;06a;S-01;62
10318;25745;LEV-;52;19;04a;S-01;60
10318;25843;EK-;75;12;04a;S-01;972
10318;30023;WES-;70;7;04a;S-01;972
10318;30347;KÜN-;70;7;04a;S-01;972
10318;30351;HH-;75;12;04a;S-01;972
10318;30415;ZB-;93;30;04a;S-01;972
