vorfallsdatum;vorfallsuhrzeit;Ortskürzel;geschwindigkeit;ueberschreitung;fahrzeugart;dienststelle;standort
11018;333;GL-;62;9;04a;S-01;10
11018;429;GE-;62;9;04a;S-01;9
11018;957;GL-;39;6;04a;S-01;36
11018;1006;GM-;48;15;04a;S-01;60
11018;1121;EK-;39;6;04a;S-01;63
11018;1151;K-;66;13;04a;S-01;17
11018;1332;E-;73;10;04a;S-01;982
11018;1415;SI-;42;9;04a;S-01;39
11018;1535;D-;44;11;04a;S-01;60
11018;1626;SI-;69;6;04a;S-01;981
11018;1652;GL-;78;15;04a;S-01;982
11018;1654;GL-;78;15;04a;S-01;983
11018;1841;WI-;60;7;04a;S-01;17
11018;1845;-1;82;19;04a;S-01;973
11018;2223;LEV-;40;7;04a;S-01;60
11018;2659;F-;72;9;04a;S-01;971
11018;2809;K-;75;22;04a;S-01;29
11018;3109;K-;61;8;04a;S-01;16
11018;3500;DO-;77;14;04a;S-01;973
11018;3832;K-;63;10;04a;S-01;16
11018;3906;;85;22;04a;S-01;972
11018;4638;MG-;80;17;04a;S-01;973
11018;4902;B-;93;30;04a;S-01;972
11018;5036;HH-;63;10;04a;S-01;16
11018;5039;;102;38;04a;S-01;973
11018;5439;K-;43;10;04a;S-01;6186
11018;10030;K-;55;22;04a;S-01;31
11018;10432;MG-;84;21;04a;S-01;982
11018;10950;K-;52;19;04a;S-01;6186
11018;11001;DU-;102;38;04a;S-01;971
11018;12219;K-;47;14;04a;S-01;6186
11018;12449;BM-;69;16;04a;S-01;17
11018;12715;K-;44;11;04a;S-01;6186
11018;12826;GL-;72;9;04a;S-01;972
11018;13017;GL-;70;7;04a;S-01;971
11018;13147;TUT-;65;12;04a;S-01;16
11018;14429;K-;52;19;04a;S-01;6186
11018;20005;H-;87;24;04a;S-01;972
11018;20105;MO-;69;6;04a;S-01;981
11018;20538;BM-;61;8;04a;S-01;16
11018;20815;;83;20;04a;S-01;971
11018;20829;;69;6;04a;S-01;981
11018;21106;K-;62;9;04a;S-01;14
11018;21449;BM-;60;7;04a;S-01;10
11018;21650;;74;11;04a;S-01;972
11018;21801;BO-;59;6;04a;S-01;29
11018;23534;K-;72;9;04a;S-01;971
11018;24653;SIM-;70;7;04a;S-01;982
11018;30137;BM-;43;10;04a;S-01;32
11018;30202;LEV-;57;24;04a;S-01;39
11018;30320;WES-;71;8;04a;S-01;972
11018;30335;WES-;72;9;04a;S-01;982
11018;31109;M-;93;30;04a;S-01;972
11018;31116;KK-;96;33;04a;S-01;972
11018;31247;K-;80;17;04a;S-01;971
11018;31533;;82;19;04a;S-01;983
11018;32901;KK-;60;7;04a;S-01;10
11018;33158;-1;64;11;04a;S-01;16
11018;33611;K-;62;9;04a;S-01;10
11018;34317;GL-;100;37;04a;S-01;972
11018;34328;GL-;91;28;04a;S-01;981
11018;34516;DN-;59;6;04a;S-01;9
11018;34804;GL-;40;7;04a;S-01;32
11018;35440;K-;70;7;04a;S-01;982
11018;35611;K-;73;10;04a;S-01;971
11018;40420;NE-;80;17;04a;S-01;971
11018;40434;NE-;69;6;04a;S-01;981
11018;41216;LEV-;95;32;04a;S-01;972
11018;42406;DN-;90;27;04a;S-01;972
11018;42630;K-;59;6;04a;K-04;7018
11018;43201;VEC-;69;6;04a;S-01;973
11018;43650;MY-;82;19;04a;S-01;972
11018;44254;MK-;74;11;04a;S-01;972
11018;44756;NE-;85;22;04a;S-01;982
11018;44758;NE-;85;22;04a;S-01;983
11018;44853;NE-;110;46;04a;S-01;973
11018;45409;AC-;69;6;04a;S-01;972
11018;50416;-1;69;6;04a;S-01;973
11018;50417;K-;62;9;04a;S-01;29
11018;51510;BM-;40;7;04a;S-01;32
11018;51653;K-;52;19;04a;S-01;63
11018;51728;NE-;40;7;04a;S-01;63
11018;53235;K-;59;6;04a;S-01;17
11018;53653;K-;59;6;04a;K-04;7018
11018;53757;BM-;62;9;04a;S-01;10
11018;54742;K-;48;15;04a;S-01;60
11018;54843;NE-;71;8;04a;S-01;973
11018;55325;BM-;43;10;04a;S-01;38
11018;55531;K-;48;15;04a;S-01;61
11018;55904;K-;45;12;04a;S-01;6186
11018;60132;ME-;44;11;06a;S-01;31
11018;60445;EU-;73;10;04a;S-01;982
11018;60539;K-;39;6;04a;S-01;6186
11018;60622;;119;15;04a;S-01;99
11018;60623;;114;10;04a;S-01;99
11018;60950;K-;59;6;04a;S-01;17
11018;61009;GN-;116;12;04a;S-01;99
11018;61035;K-;40;7;04a;S-01;6186
11018;61522;SIM-;70;7;04a;S-01;982
11018;61559;GL-;39;6;04a;S-01;39
11018;61612;AW-;130;26;04a;S-01;99
11018;61614;MB-;118;14;04a;S-01;99
11018;61739;OG-;117;13;04a;S-01;99
11018;62101;BM-;41;8;04a;S-01;32
11018;62115;M-;111;7;04a;S-01;99
11018;62332;P-;40;7;04a;S-01;60
11018;62523;BM-;59;6;04a;S-01;17
11018;62537;BO-;59;6;04a;S-01;17
11018;62958;GL-;62;9;04a;S-01;16
11018;63327;M-;132;28;04a;S-01;99
11018;63838;K-;42;9;04a;S-01;6186
11018;63906;K-;53;20;04a;S-01;60
11018;64430;BM-;69;6;04a;S-01;982
11018;64546;;42;9;04a;S-01;63
11018;64638;LZ-;115;11;04a;S-01;99
11018;64754;HD-;124;20;04a;S-01;99
11018;65037;RÜD-;116;12;04a;S-01;99
11018;65153;BN-;49;16;04a;S-01;6186
11018;65637;LB-;115;11;04a;S-01;99
11018;70114;MH-;110;6;04a;S-01;99
11018;70131;SU-;39;6;04a;S-01;61
11018;70552;K-;60;7;04a;S-01;16
11018;70921;DIZ-;123;19;04a;S-01;99
11018;70926;WI-;40;7;04a;S-01;60
11018;71049;E-;113;9;04a;S-01;99
11018;71154;HD-;111;7;04a;S-01;99
11018;71216;K-;55;22;04a;S-01;6186
11018;71316;K-;44;11;04a;S-01;63
11018;71505;K-;47;14;04a;S-02;498
11018;71516;ME-;44;11;04a;S-02;498
11018;71543;SIM-;117;13;04a;S-01;99
11018;71616;K-;42;9;04a;S-02;304
11018;71644;K-;44;11;04a;S-01;60
11018;71655;K-;40;7;04a;S-02;304
11018;71847;K-;40;7;04a;S-02;498
11018;71959;K-;55;22;04a;S-02;498
11018;72042;K-;39;6;04a;S-02;304
11018;72104;SHA-;112;8;04a;S-01;99
11018;72104;WW-;111;7;04a;S-01;99
11018;72130;K-;48;15;04a;S-02;498
11018;72213;K-;43;10;04a;S-02;498
11018;72220;K-;39;6;04a;S-02;498
11018;72311;K-;44;11;04a;S-02;498
11018;72418;K-;41;8;04a;S-02;304
11018;72426;WI-;48;15;04a;S-02;498
11018;72622;K-;41;8;04a;S-01;6186
11018;72710;K-;49;16;04a;S-01;61
11018;72729;OF-;111;7;04a;S-01;99
11018;72755;K-;39;6;04a;S-02;498
11018;72838;K-;40;7;04a;S-01;6186
11018;72856;K-;40;7;04a;S-02;304
11018;72858;K-;39;6;04a;S-02;304
11018;72937;EMS-;111;7;04a;S-01;99
11018;72957;K-;61;8;04a;S-01;29
11018;73058;SU-;39;6;04a;S-02;304
11018;73114;K-;39;6;04a;S-02;498
11018;73134;K-;39;6;04a;S-02;304
11018;73155;MYK-;114;10;04a;S-01;99
11018;73206;EU-;40;7;04a;S-02;304
11018;73237;K-;43;10;04a;S-01;6186
11018;73239;K-;39;6;04a;S-02;304
11018;73257;BN-;115;11;04a;S-01;99
11018;73314;BM-;39;6;04a;S-01;60
11018;73405;;89;6;10a;S-01;99
11018;73423;K-;39;6;04a;S-02;304
11018;73511;K-;40;7;04a;S-02;304
11018;73607;K-;40;7;04a;S-02;304
11018;73627;ESW-;39;6;04a;S-02;304
11018;73841;K-;39;6;04a;S-02;304
11018;73848;K-;39;6;04a;S-02;498
11018;73907;SU-;40;7;04a;S-02;304
11018;73914;SO-;40;7;04a;S-02;498
11018;74144;K-;42;9;04a;S-02;304
11018;74209;D-;42;9;04a;S-01;31
11018;74234;F-;115;11;04a;S-01;99
11018;74234;K-;41;8;04a;S-02;498
11018;74401;K-;40;7;04a;S-02;498
11018;74603;RA-;40;7;04a;S-02;1284
11018;74624;K-;39;6;04a;S-02;304
11018;74705;K-;39;6;04a;S-02;304
11018;74803;AC-;47;14;04a;S-02;1284
11018;74828;K-;43;10;04a;S-02;1284
11018;74855;K-;41;8;04a;S-02;498
11018;74917;K-;40;7;04a;S-02;304
11018;74938;M-;43;10;04a;S-02;1284
11018;74944;GL-;47;14;04a;S-02;1284
11018;74949;K-;44;11;04a;S-02;1284
11018;75008;K-;43;10;04a;S-02;304
11018;75011;RÜD-;116;12;04a;S-01;99
11018;75027;K-;39;6;04a;S-02;304
11018;75053;K-;39;6;04a;S-02;304
